0.05		-0.119631			-0.067964				-0.066806	-0.067983
0.1		-0.158457			-0.11937				-0.109842	-0.119487
0.15		-0.186534			-0.157306				-0.13757	-0.157785
0.2		-0.205645			-0.183405				-0.154861	-0.184643
0.25		-0.217318			-0.199137				-0.163696	-0.201551
0.3		-0.222861			-0.20595				-0.166245	-0.209808
0.35		-0.223392			-0.205333				-0.164229	-0.210585
0.4		-0.219864			-0.198828				-0.15896	-0.204966
0.45		-0.213084			-0.18797				-0.151426	-0.193982
0.5		-0.203736			-0.174211				-0.142368	-0.17863
0.55		-0.192396			-0.158825				-0.132339	-0.159894
0.6		-0.179554			-0.142845				-0.121747	-0.138743
0.65		-0.165623			-0.12703				-0.110895	-0.116136
0.7		-0.150952			-0.111877				-0.100009	-0.093017
0.75		-0.135845			-0.097661				-0.089254	-0.070298
0.8		-0.120561			-0.084497				-0.078758	-0.048841
0.85		-0.105335			-0.072394				-0.068618	-0.029426
0.9		-0.090383			-0.061306				-0.058914	-0.012723
0.95		-0.075922			-0.051175				-0.049719	0.000753
1		-0.063253			-0.041956				-0.041106	0.010691
1.05		-0.053038			-0.034262				-0.03378	0.01741
1.1		-0.04474			-0.028287				-0.028018	0.021868
1.15		-0.037957			-0.023576				-0.023428	0.024717
1.2		-0.032382			-0.019816				-0.019735	0.026421
1.25		-0.027772			-0.016781				-0.016738	0.027315
1.3		-0.023939			-0.014309				-0.014286	0.027635
1.35		-0.020735			-0.012278				-0.012266	0.027552
1.4		-0.018042			-0.010595				-0.010589	0.027191
1.45		-0.015767			-0.009191				-0.009188	0.026638
1.5		-0.013837			-0.008013				-0.008011	0.02596
1.55		-0.01219			-0.007017				-0.007016	0.025201
1.6		-0.01078			-0.006171				-0.006171	0.024396
1.65		-0.009566			-0.005449				-0.005449	0.023568
1.7		-0.008518			-0.00483				-0.00483	0.022734
1.75		-0.007608			-0.004296				-0.004296	0.021907
1.8		-0.006817			-0.003834				-0.003834	0.021095
1.85		-0.006125			-0.003432				-0.003432	0.020305
1.9		-0.005519			-0.003082				-0.003082	0.019539
1.95		-0.004985			-0.002775				-0.002775	0.018801
2		-0.004515			-0.002505				-0.002505	0.018091
2.05		-0.004098			-0.002268				-0.002268	0.01741
2.1		-0.003728			-0.002057				-0.002057	0.016759
2.15		-0.003399			-0.001871				-0.001871	0.016136
2.2		-0.003106			-0.001706				-0.001706	0.015542
2.25		-0.002843			-0.001558				-0.001558	0.014974
2.3		-0.002608			-0.001426				-0.001426	0.014433
2.35		-0.002396			-0.001307				-0.001307	0.013917
2.4		-0.002206			-0.001201				-0.001201	0.013425
2.45		-0.002034			-0.001105				-0.001105	0.012956

