1	-0.0598	-0.079462	-0.063272		-0.050466			-0.074263
2	-0.0448	-0.062345	-0.048929		-0.035078			-0.052983
5	-0.0282	-0.042826	-0.03322		-0.017693			-0.032986
10	-0.0186	-0.030892	-0.023905		-0.006725			-0.022545
