11.896635	0		0				6.4E-05		5.1E-05				1.2E-05		1.1E-05
12.053169	0		0				5.9E-05		4.8E-05				1.1E-05		1.1E-05
12.209704	0		0				5.4E-05		4.4E-05				1.1E-05		1E-05
12.366239	0		0				5E-05		4.1E-05				1E-05		9E-06
12.522773	0		0				4.7E-05		3.9E-05				1E-05		9E-06
12.679308	0		0				4.3E-05		3.6E-05				9E-06		9E-06
12.835843	0		0				4.1E-05		3.4E-05				9E-06		8E-06
12.992377	0		0				3.8E-05		3.2E-05				8E-06		8E-06
13.148912	0		0				3.6E-05		3E-05				8E-06		7E-06
13.305447	0		0				3.3E-05		2.9E-05				7E-06		7E-06
13.461981	0		0				3.1E-05		2.7E-05				7E-06		7E-06
13.618516	0		0				3E-05		2.6E-05				7E-06		6E-06
13.775051	0		0				2.8E-05		2.4E-05				6E-06		6E-06
13.931585	0		0				2.6E-05		2.3E-05				6E-06		6E-06
14.08812	0		0				2.5E-05		2.2E-05				6E-06		6E-06
14.244655	0		0				2.4E-05		2.1E-05				6E-06		5E-06
14.401189	0		0				2.2E-05		2E-05				5E-06		5E-06
14.557724	0		0				2.1E-05		1.9E-05				5E-06		5E-06
14.714259	0		0				2E-05		1.8E-05				5E-06		5E-06
14.870793	0		0				1.9E-05		1.7E-05				5E-06		4E-06
15.027328	0		0				1.8E-05		1.7E-05				4E-06		4E-06
15.183863	0		0				1.8E-05		1.6E-05				4E-06		4E-06
15.340397	0		0				1.7E-05		1.5E-05				4E-06		4E-06
15.496932	0		0				1.6E-05		1.5E-05				4E-06		4E-06
15.653467	0		0				1.5E-05		1.4E-05				4E-06		4E-06
15.810001	0		0				1.5E-05		1.3E-05				4E-06		4E-06
15.966536	0		0				1.4E-05		1.3E-05				4E-06		3E-06
16.123071	0		0				1.4E-05		1.2E-05				3E-06		3E-06
16.279605	0		0				1.3E-05		1.2E-05				3E-06		3E-06
16.43614	0		0				1.2E-05		1.1E-05				3E-06		3E-06
16.592675	0		0				1.2E-05		1.1E-05				3E-06		3E-06
16.749209	0		0				1.2E-05		1.1E-05				3E-06		3E-06
16.905744	0		0				1.1E-05		1E-05				3E-06		3E-06
17.062279	0		0				1.1E-05		1E-05				3E-06		3E-06
17.218813	0		0				1E-05		1E-05				3E-06		3E-06
