0.05	-0.923111		-0.989656	-0.989634		-0.989643		-0.988292
0.1	-0.847842		-0.962443	-0.962147		-0.962267		-0.951473
0.15	-0.773352		-0.922008	-0.92074		-0.921251		-0.899319
0.2	-0.70002		-0.871525	-0.868168		-0.869506		-0.838128
0.25	-0.628227		-0.813678	-0.80688		-0.809549		-0.770711
0.3	-0.558351		-0.750736	-0.739177		-0.743622		-0.699877
0.35	-0.490771		-0.684623	-0.667278		-0.673759		-0.627794
0.4	-0.425866		-0.616969	-0.593306		-0.601827		-0.556109
0.45	-0.364015		-0.549163	-0.519239		-0.529525		-0.486082
0.5	-0.305596		-0.482396	-0.446842		-0.458384		-0.418704
0.55	-0.25099		-0.417694	-0.377606		-0.389759		-0.35477
0.6	-0.200574		-0.355954	-0.312728		-0.324815		-0.294944
0.65	-0.154728		-0.297965	-0.253119		-0.26454		-0.239797
0.7	-0.113831		-0.244437	-0.199453		-0.209749		-0.189836
0.75	-0.078263		-0.196012	-0.152225		-0.161108		-0.145526
0.8	-0.048402		-0.153283	-0.111809		-0.119162		-0.107305
0.85	-0.02463		-0.116806	-0.078516		-0.084365		-0.075594
0.9	-0.007326		-0.087115	-0.052634		-0.057106		-0.050806
0.95	0.003124		-0.064729	-0.034454		-0.037739		-0.033354
1	0.006317		-0.050191	-0.024313		-0.026628		-0.023678
1.05	0.005768		-0.040957	-0.019125		-0.020713		-0.018768
1.1	0.005241		-0.033702	-0.015235		-0.016313		-0.015037
1.15	0.004709		-0.027981	-0.012308		-0.013033		-0.012199
1.2	0.004165		-0.023458	-0.010105		-0.010588		-0.010046
1.25	0.003607		-0.019881	-0.008456		-0.008774		-0.008424
1.3	0.003033		-0.017057	-0.007238		-0.007446		-0.007221
1.35	0.002441		-0.014837	-0.006361		-0.006496		-0.006352
1.4	0.001831		-0.013106	-0.005757		-0.005843		-0.005752
1.45	0.001203		-0.011774	-0.005375		-0.00543		-0.005372
1.5	0.000555		-0.010771	-0.005175		-0.00521		-0.005174
1.55	-0.000113		-0.010041	-0.005128		-0.00515		-0.005127
1.6	-0.0008		-0.009539	-0.005209		-0.005222		-0.005208
1.65	-0.001508		-0.009229	-0.005399		-0.005407		-0.005399
1.7	-0.002236		-0.009083	-0.005683		-0.005688		-0.005683
1.75	-0.002984		-0.009077	-0.006049		-0.006052		-0.006049
1.8	-0.003753		-0.009192	-0.006488		-0.006489		-0.006488
1.85	-0.004542		-0.009413	-0.00699		-0.006991		-0.00699
1.9	-0.005353		-0.009728	-0.00755		-0.00755		-0.00755
1.95	-0.006184		-0.010124	-0.008162		-0.008162		-0.008162
2	-0.007035		-0.010594	-0.008821		-0.008821		-0.008821
2.05	-0.007908		-0.01113	-0.009524		-0.009524		-0.009524
2.1	-0.008802		-0.011725	-0.010268		-0.010268		-0.010268
2.15	-0.009716		-0.012376	-0.01105		-0.01105		-0.01105
2.2	-0.010652		-0.013076	-0.011867		-0.011867		-0.011867
2.25	-0.011609		-0.013823	-0.012718		-0.012718		-0.012718
2.3	-0.012586		-0.014613	-0.013602		-0.013602		-0.013602
2.35	-0.013585		-0.015444	-0.014516		-0.014516		-0.014516
2.4	-0.014605		-0.016313	-0.01546		-0.01546		-0.01546
2.45	-0.015646		-0.017218	-0.016433		-0.016433		-0.016433
2.5	-0.016707		-0.018157	-0.017433		-0.017433		-0.017433

