0.05							-0.067971
0.1							-0.119471
0.15							-0.157749
0.2							-0.184597
0.25							-0.20158
0.3							-0.21013
0.35							-0.211603
0.4							-0.207304
0.45							-0.198484
0.5							-0.186323
0.55							-0.171896
0.6							-0.156145
0.65							-0.139858
0.7							-0.123652
0.75							-0.107984
0.8							-0.093159
0.85							-0.079363
0.9							-0.066687
0.95							-0.055159
1							-0.044782
1.05							-0.036209
1.1							-0.029611
1.15							-0.024466
1.2							-0.020407
1.25							-0.01717
1.3							-0.014562
1.35							-0.012441
1.4							-0.010699
1.45							-0.009257
1.5							-0.008054
1.55							-0.007043
1.6							-0.006187
1.65							-0.005459
1.7							-0.004836
1.75							-0.004299
1.8							-0.003836
1.85							-0.003433
1.9							-0.003082
1.95							-0.002775
2							-0.002505
2.05							-0.002268
2.1							-0.002058
2.15							-0.001871
2.2							-0.001706
2.25							-0.001558
2.3							-0.001426
2.35							-0.001307
2.4							-0.001201
2.45							-0.001105
2.5							-0.001019

