0.05		-0.066544			-0.066523		-0.066532		-0.06518
0.1		-0.114601			-0.114305		-0.114425		-0.103631
0.15		-0.148656			-0.147389		-0.147899		-0.125968
0.2		-0.171505			-0.168148		-0.169486		-0.138108
0.25		-0.185451			-0.178653		-0.181323		-0.142485
0.3		-0.192385			-0.180827		-0.185271		-0.141526
0.35		-0.193852			-0.176507		-0.182989		-0.137024
0.4		-0.191103			-0.16744		-0.175961		-0.130243
0.45		-0.185149			-0.155224		-0.16551		-0.122068
0.5		-0.1768			-0.141246		-0.152788		-0.113107
0.55		-0.166704			-0.126616		-0.138769		-0.10378
0.6		-0.15538			-0.112154		-0.124241		-0.09437
0.65		-0.143237			-0.098391		-0.109812		-0.085069
0.7		-0.130606			-0.085622		-0.095917		-0.076005
0.75		-0.117749			-0.073962		-0.082845		-0.067263
0.8		-0.104881			-0.063407		-0.07076		-0.058903
0.85		-0.092177			-0.053887		-0.059736		-0.050964
0.9		-0.079789			-0.045308		-0.04978		-0.043479
0.95		-0.067853			-0.037578		-0.040863		-0.036477
1		-0.056507			-0.03063		-0.032945		-0.029994
1.05		-0.046724			-0.024893		-0.026481		-0.024535
1.1		-0.038943			-0.020477		-0.021554		-0.020278
1.15		-0.03269			-0.017017		-0.017742		-0.016909
1.2		-0.027624			-0.014271		-0.014753		-0.014212
1.25		-0.023489			-0.012063		-0.012381		-0.012032
1.3		-0.02009			-0.010271		-0.010479		-0.010254
1.35		-0.017278			-0.008802		-0.008937		-0.008793
1.4		-0.014938			-0.007588		-0.007675		-0.007584
1.45		-0.012977			-0.006577		-0.006632		-0.006575
1.5		-0.011326			-0.00573		-0.005765		-0.005729
1.55		-0.009928			-0.005015		-0.005037		-0.005014
1.6		-0.008738			-0.004408		-0.004422		-0.004408
1.65		-0.007721			-0.003891		-0.003899		-0.003891
1.7		-0.006847			-0.003447		-0.003452		-0.003447
1.75		-0.006093			-0.003065		-0.003068		-0.003065
1.8		-0.005439			-0.002735		-0.002736		-0.002735
1.85		-0.004871			-0.002448		-0.002449		-0.002448
1.9		-0.004375			-0.002197		-0.002198		-0.002197
1.95		-0.00394			-0.001978		-0.001978		-0.001978
2		-0.003558			-0.001786		-0.001786		-0.001786
2.05		-0.003222			-0.001616		-0.001616		-0.001616
2.1		-0.002924			-0.001466		-0.001466		-0.001466
2.15		-0.002659			-0.001333		-0.001333		-0.001333
2.2		-0.002424			-0.001215		-0.001215		-0.001215
2.25		-0.002215			-0.00111		-0.00111		-0.00111
2.3		-0.002027			-0.001016		-0.001016		-0.001016
2.35		-0.001859			-0.000931		-0.000931		-0.000931
2.4		-0.001708			-0.000855		-0.000855		-0.000855
2.45		-0.001572			-0.000787		-0.000787		-0.000787
2.5		-0.001449			-0.000726		-0.000726		-0.000726

