0.05										-0.066541
0.1										-0.114438
0.15										-0.147927
0.2										-0.169509
0.25										-0.181247
0.3										-0.184883
0.35										-0.181921
0.4										-0.17368
0.45										-0.161338
0.5										-0.145955
0.55										-0.128497
0.6										-0.109837
0.65										-0.09077
0.7										-0.072007
0.75										-0.054175
0.8										-0.037813
0.85										-0.023363
0.9										-0.011162
0.95										-0.001436
1										0.005721
1.05										0.010581
1.1										0.013825
1.15										0.015929
1.2										0.017225
1.25										0.017949
1.3										0.018265
1.35										0.018295
1.4										0.018123
1.45										0.017811
1.5										0.017405
1.55										0.016937
1.6										0.01643
1.65										0.015902
1.7										0.015366
1.75										0.01483
1.8										0.014301
1.85										0.013782
1.9										0.013278
1.95										0.01279
2										0.01232
2.05										0.011867
2.1										0.011433
2.15										0.011017
2.2										0.010619
2.25										0.010239
2.3										0.009875
2.35										0.009528
2.4										0.009197
2.45										0.00888
2.5										0.008578

