# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.010004, 0.000852, 0.000892
0.020017, 0.001705, 0.001786
0.030037, 0.002560, 0.002681
0.040066, 0.003417, 0.003578
0.050104, 0.004277, 0.004478
0.060149, 0.005139, 0.005380
0.070204, 0.006003, 0.006284
0.080266, 0.006871, 0.007191
0.090337, 0.007741, 0.008100
0.100416, 0.008613, 0.009011
0.110503, 0.009487, 0.009923
0.120599, 0.010362, 0.010836
0.130704, 0.011237, 0.011749
0.140817, 0.012112, 0.012661
0.150938, 0.012985, 0.013571
0.161067, 0.013857, 0.014478
0.171206, 0.014726, 0.015381
0.181352, 0.015591, 0.016281
0.191507, 0.016453, 0.017176
0.201671, 0.017311, 0.018067
0.211843, 0.018166, 0.018953
0.222023, 0.019018, 0.019836
0.232212, 0.019869, 0.020717
0.242410, 0.020719, 0.021597
0.252616, 0.021570, 0.022476
0.262831, 0.022423, 0.023358
0.273054, 0.023280, 0.024243
0.283286, 0.024143, 0.025133
0.293526, 0.025011, 0.026028
0.303775, 0.025887, 0.026930
0.314032, 0.026769, 0.027838
0.324299, 0.027659, 0.028753
0.334573, 0.028555, 0.029674
0.344857, 0.029457, 0.030600
0.355149, 0.030362, 0.031528
0.365449, 0.031271, 0.032459
0.375759, 0.032181, 0.033390
0.386077, 0.033091, 0.034319
0.396404, 0.034000, 0.035246
0.406739, 0.034908, 0.036169
0.417083, 0.035812, 0.037087
0.427436, 0.036715, 0.038001
0.437798, 0.037616, 0.038911
0.448168, 0.038517, 0.039818
0.458547, 0.039419, 0.040725
0.468935, 0.040324, 0.041633
0.479332, 0.041235, 0.042545
0.489737, 0.042154, 0.043463
0.500151, 0.043083, 0.044390
0.510574, 0.044025, 0.045327
0.521006, 0.044980, 0.046278
0.531447, 0.045950, 0.047242
0.541896, 0.046936, 0.048221
0.552355, 0.047938, 0.049214
0.562822, 0.048955, 0.050222
0.573298, 0.049988, 0.051243
0.583783, 0.051033, 0.052277
0.594277, 0.052091, 0.053320
0.604780, 0.053159, 0.054372
0.615292, 0.054234, 0.055429
0.625812, 0.055316, 0.056489
0.636342, 0.056402, 0.057552
0.646881, 0.057491, 0.058614
0.657428, 0.058582, 0.059675
0.667985, 0.059675, 0.060734
0.678550, 0.060770, 0.061793
0.689125, 0.061868, 0.062851
0.699708, 0.062970, 0.063912
0.710301, 0.064080, 0.064976
0.720903, 0.065198, 0.066047
0.731513, 0.066328, 0.067128
0.742133, 0.067471, 0.068220
0.752762, 0.068630, 0.069327
0.763400, 0.069806, 0.070450
0.774047, 0.071001, 0.071590
0.784703, 0.072215, 0.072749
0.795368, 0.073449, 0.073928
0.806042, 0.074703, 0.075126
0.816726, 0.075977, 0.076344
0.827418, 0.077271, 0.077580
0.838120, 0.078583, 0.078836
0.848831, 0.079913, 0.080108
0.859551, 0.081261, 0.081397
0.870280, 0.082625, 0.082702
0.881019, 0.084004, 0.084022
0.891767, 0.085398, 0.085355
0.902524, 0.086806, 0.086702
0.913290, 0.088228, 0.088063
0.924066, 0.089665, 0.089438
0.934850, 0.091117, 0.090829
0.945645, 0.092585, 0.092237
0.956448, 0.094071, 0.093664
0.967261, 0.095575, 0.095112
0.978083, 0.097101, 0.096584
0.988914, 0.098647, 0.098083
0.999755, 0.100217, 0.099609
1.010605, 0.101809, 0.101165
1.021464, 0.103423, 0.102752
1.032333, 0.105060, 0.104369
1.043211, 0.106718, 0.106017
1.054099, 0.108394, 0.107695
1.064996, 0.110087, 0.109402
1.075902, 0.111793, 0.111134
1.086818, 0.113510, 0.112889
1.097744, 0.115234, 0.114664
1.108678, 0.116960, 0.116455
1.119623, 0.118685, 0.118257
1.130576, 0.120404, 0.120065
1.141540, 0.122112, 0.121874
1.152512, 0.123803, 0.123678
1.163495, 0.125474, 0.125471
1.174487, 0.127120, 0.127248
1.185488, 0.128737, 0.129002
1.196499, 0.130321, 0.130730
1.207520, 0.131871, 0.132426
1.218550, 0.133386, 0.134087
1.229590, 0.134866, 0.135712
1.240639, 0.136313, 0.137300
1.251698, 0.137731, 0.138853
1.262767, 0.139126, 0.140372
1.273845, 0.140505, 0.141861
1.284933, 0.141875, 0.143327
1.296031, 0.143245, 0.144775
1.307138, 0.144626, 0.146212
1.318255, 0.146028, 0.147646
1.329382, 0.147459, 0.149083
1.340518, 0.148929, 0.150529
1.351664, 0.150445, 0.151990
1.362820, 0.152012, 0.153468
1.373986, 0.153633, 0.154964
1.385162, 0.155312, 0.156478
1.396347, 0.157046, 0.158007
1.407542, 0.158835, 0.159549
1.418747, 0.160675, 0.161096
1.429962, 0.162562, 0.162644
1.441186, 0.164493, 0.164186
1.452421, 0.166463, 0.165717
1.463665, 0.168471, 0.167232
1.474920, 0.170515, 0.168728
1.486184, 0.172596, 0.170204
1.497458, 0.174717, 0.171662
1.508742, 0.176885, 0.173106
1.520036, 0.179107, 0.174542
1.531339, 0.181392, 0.175978
1.542653, 0.183751, 0.177425
1.553977, 0.186195, 0.178894
1.565311, 0.188733, 0.180397
1.576655, 0.191375, 0.181946
1.588008, 0.194130, 0.183553
1.599372, 0.197001, 0.185228
1.610746, 0.199992, 0.186980
1.622130, 0.203102, 0.188817
1.633524, 0.206326, 0.190745
1.644928, 0.209657, 0.192765
1.656342, 0.213083, 0.194880
1.667767, 0.216589, 0.197089
1.679201, 0.220157, 0.199387
1.690646, 0.223766, 0.201770
1.702100, 0.227392, 0.204230
1.713565, 0.231012, 0.206758
1.725040, 0.234603, 0.209343
1.736525, 0.238142, 0.211974
1.748021, 0.241610, 0.214640
1.759526, 0.244990, 0.217329
1.771042, 0.248271, 0.220033
1.782568, 0.251443, 0.222744
1.794105, 0.254503, 0.225454
1.805651, 0.257451, 0.228161
1.817208, 0.260290, 0.230863
1.828776, 0.263026, 0.233561
1.840353, 0.265668, 0.236256
1.851941, 0.268226, 0.238953
1.863539, 0.270711, 0.241657
