# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.010004, 0.000847, 0.000879
0.020017, 0.001696, 0.001760
0.030037, 0.002547, 0.002643
0.040066, 0.003401, 0.003529
0.050104, 0.004259, 0.004419
0.060149, 0.005121, 0.005313
0.070204, 0.005988, 0.006211
0.080266, 0.006860, 0.007114
0.090337, 0.007737, 0.008022
0.100416, 0.008618, 0.008934
0.110503, 0.009504, 0.009850
0.120599, 0.010394, 0.010769
0.130704, 0.011286, 0.011691
0.140817, 0.012180, 0.012613
0.150938, 0.013075, 0.013535
0.161067, 0.013968, 0.014456
0.171206, 0.014860, 0.015373
0.181352, 0.015748, 0.016287
0.191507, 0.016631, 0.017195
0.201671, 0.017509, 0.018097
0.211843, 0.018382, 0.018992
0.222023, 0.019248, 0.019880
0.232212, 0.020108, 0.020761
0.242410, 0.020962, 0.021636
0.252616, 0.021813, 0.022506
0.262831, 0.022661, 0.023373
0.273054, 0.023508, 0.024237
0.283286, 0.024356, 0.025102
0.293526, 0.025206, 0.025968
0.303775, 0.026062, 0.026838
0.314032, 0.026924, 0.027713
0.324299, 0.027794, 0.028595
0.334573, 0.028673, 0.029485
0.344857, 0.029563, 0.030385
0.355149, 0.030464, 0.031294
0.365449, 0.031377, 0.032214
0.375759, 0.032300, 0.033143
0.386077, 0.033235, 0.034082
0.396404, 0.034180, 0.035030
0.406739, 0.035135, 0.035986
0.417083, 0.036099, 0.036950
0.427436, 0.037070, 0.037919
0.437798, 0.038047, 0.038894
0.448168, 0.039030, 0.039872
0.458547, 0.040016, 0.040852
0.468935, 0.041005, 0.041834
0.479332, 0.041996, 0.042816
0.489737, 0.042988, 0.043797
0.500151, 0.043981, 0.044777
0.510574, 0.044974, 0.045755
0.521006, 0.045968, 0.046732
0.531447, 0.046963, 0.047708
0.541896, 0.047960, 0.048684
0.552355, 0.048961, 0.049660
0.562822, 0.049967, 0.050639
0.573298, 0.050980, 0.051623
0.583783, 0.052002, 0.052612
0.594277, 0.053035, 0.053609
0.604780, 0.054080, 0.054615
0.615292, 0.055139, 0.055632
0.625812, 0.056213, 0.056662
0.636342, 0.057303, 0.057705
0.646881, 0.058409, 0.058762
0.657428, 0.059533, 0.059833
0.667985, 0.060674, 0.060919
0.678550, 0.061832, 0.062020
0.689125, 0.063007, 0.063136
0.699708, 0.064198, 0.064266
0.710301, 0.065406, 0.065410
0.720903, 0.066629, 0.066567
