# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, -0.000000
0.010004, 0.000775, 0.000779
0.020017, 0.001551, 0.001559
0.030037, 0.002332, 0.002344
0.040066, 0.003118, 0.003134
0.050104, 0.003910, 0.003932
0.060149, 0.004712, 0.004738
0.070204, 0.005523, 0.005555
0.080266, 0.006345, 0.006383
0.090337, 0.007181, 0.007225
0.100416, 0.008030, 0.008081
0.110503, 0.008895, 0.008954
0.120599, 0.009775, 0.009843
0.130704, 0.010673, 0.010750
0.140817, 0.011588, 0.011675
0.150938, 0.012521, 0.012620
0.161067, 0.013472, 0.013583
0.171206, 0.014441, 0.014564
0.181352, 0.015426, 0.015563
0.191507, 0.016427, 0.016578
0.201671, 0.017441, 0.017607
0.211843, 0.018465, 0.018647
0.222023, 0.019498, 0.019695
0.232212, 0.020534, 0.020747
0.242410, 0.021570, 0.021799
0.252616, 0.022601, 0.022845
0.262831, 0.023622, 0.023881
0.273054, 0.024628, 0.024900
0.283286, 0.025613, 0.025898
0.293526, 0.026575, 0.026870
0.303775, 0.027507, 0.027812
0.314032, 0.028410, 0.028721
0.324299, 0.029280, 0.029595
0.334573, 0.030118, 0.030436
0.344857, 0.030926, 0.031244
0.355149, 0.031707, 0.032023
0.365449, 0.032466, 0.032777
0.375759, 0.033209, 0.033514
0.386077, 0.033943, 0.034240
0.396404, 0.034676, 0.034964
0.406739, 0.035415, 0.035692
0.417083, 0.036167, 0.036433
0.427436, 0.036940, 0.037195
0.437798, 0.037741, 0.037985
0.448168, 0.038574, 0.038808
0.458547, 0.039445, 0.039670
0.468935, 0.040358, 0.040574
0.479332, 0.041314, 0.041523
0.489737, 0.042316, 0.042518
0.500151, 0.043363, 0.043561
0.510574, 0.044454, 0.044649
0.521006, 0.045588, 0.045781
0.531447, 0.046760, 0.046952
0.541896, 0.047966, 0.048160
0.552355, 0.049201, 0.049396
0.562822, 0.050459, 0.050656
0.573298, 0.051731, 0.051932
0.583783, 0.053011, 0.053215
0.594277, 0.054291, 0.054497
0.604780, 0.055561, 0.055769
0.615292, 0.056814, 0.057022
0.625812, 0.058042, 0.058249
0.636342, 0.059240, 0.059442
0.646881, 0.060400, 0.060597
0.657428, 0.061521, 0.061710
0.667985, 0.062602, 0.062779
0.678550, 0.063642, 0.063806
0.689125, 0.064646, 0.064794
0.699708, 0.065618, 0.065748
0.710301, 0.066564, 0.066675
0.720903, 0.067494, 0.067585
0.731513, 0.068416, 0.068486
0.742133, 0.069340, 0.069390
0.752762, 0.070275, 0.070305
0.763400, 0.071230, 0.071242
0.774047, 0.072214, 0.072211
0.784703, 0.073235, 0.073219
0.795368, 0.074299, 0.074272
0.806042, 0.075410, 0.075377
0.816726, 0.076571, 0.076535
0.827418, 0.077784, 0.077749
0.838120, 0.079049, 0.079018
0.848831, 0.080362, 0.080339
0.859551, 0.081719, 0.081708
0.870280, 0.083115, 0.083120
0.881019, 0.084543, 0.084566
0.891767, 0.085994, 0.086038
0.902524, 0.087460, 0.087528
0.913290, 0.088931, 0.089025
0.924066, 0.090399, 0.090522
0.934850, 0.091856, 0.092009
0.945645, 0.093294, 0.093479
0.956448, 0.094707, 0.094927
0.967261, 0.096091, 0.096348
0.978083, 0.097442, 0.097741
0.988914, 0.098760, 0.099104
0.999755, 0.100044, 0.100438
1.010605, 0.101296, 0.101746
1.021464, 0.102518, 0.103031
1.032333, 0.103716, 0.104296
1.043211, 0.104892, 0.105547
1.054099, 0.106052, 0.106786
1.064996, 0.107200, 0.108018
1.075902, 0.108341, 0.109246
1.086818, 0.109481, 0.110473
1.097744, 0.110623, 0.111700
1.108678, 0.111771, 0.112929
1.119623, 0.112928, 0.114158
1.130576, 0.114095, 0.115387
1.141540, 0.115271, 0.116613
1.152512, 0.116455, 0.117830
1.163495, 0.117644, 0.119034
1.174487, 0.118833, 0.120218
1.185488, 0.120017, 0.121376
1.196499, 0.121193, 0.122502
1.207520, 0.122357, 0.123591
1.218550, 0.123507, 0.124640
1.229590, 0.124643, 0.125649
1.240639, 0.125767, 0.126618
1.251698, 0.126883, 0.127552
1.262767, 0.127995, 0.128457
1.273845, 0.129111, 0.129340
1.284933, 0.130235, 0.130208
1.296031, 0.131373, 0.131071
1.307138, 0.132527, 0.131933
1.318255, 0.133697, 0.132802
1.329382, 0.134880, 0.133680
1.340518, 0.136071, 0.134569
1.351664, 0.137261, 0.135470
1.362820, 0.138439, 0.136380
1.373986, 0.139593, 0.137297
1.385162, 0.140710, 0.138218
1.396347, 0.141777, 0.139138
1.407542, 0.142784, 0.140056
1.418747, 0.143722, 0.140968
1.429962, 0.144585, 0.141876
1.441186, 0.145371, 0.142778
1.452421, 0.146081, 0.143678
1.463665, 0.146721, 0.144578
1.474920, 0.147300, 0.145485
1.486184, 0.147830, 0.146403
1.497458, 0.148324, 0.147339
1.508742, 0.148796, 0.148301
1.520036, 0.149262, 0.149295
1.531339, 0.149738, 0.150328
1.542653, 0.150234, 0.151405
1.553977, 0.150764, 0.152532
1.565311, 0.151336, 0.153711
1.576655, 0.151957, 0.154945
1.588008, 0.152629, 0.156233
1.599372, 0.153355, 0.157574
1.610746, 0.154134, 0.158965
1.622130, 0.154961, 0.160401
1.633524, 0.155832, 0.161874
1.644928, 0.156740, 0.163378
1.656342, 0.157678, 0.164903
1.667767, 0.158638, 0.166441
1.679201, 0.159613, 0.167981
1.690646, 0.160596, 0.169516
1.702100, 0.161581, 0.171036
1.713565, 0.162562, 0.172534
1.725040, 0.163537, 0.174004
1.736525, 0.164502, 0.175439
1.748021, 0.165455, 0.176837
1.759526, 0.166395, 0.178194
1.771042, 0.167321, 0.179509
1.782568, 0.168233, 0.180783
1.794105, 0.169131, 0.182016
1.805651, 0.170018, 0.183213
1.817208, 0.170897, 0.184378
1.828776, 0.171771, 0.185516
1.840353, 0.172645, 0.186637
1.851941, 0.173525, 0.187748
1.863539, 0.174419, 0.188861
1.875148, 0.175333, 0.189985
1.886767, 0.176276, 0.191133
1.898396, 0.177254, 0.192313
1.910036, 0.178273, 0.193537
1.921686, 0.179339, 0.194811
1.933346, 0.180454, 0.196143
1.945017, 0.181621, 0.197535
1.956699, 0.182838, 0.198989
1.968391, 0.184101, 0.200500
1.980093, 0.185404, 0.202063
1.991806, 0.186737, 0.203666
2.003529, 0.188087, 0.205298
2.015263, 0.189440, 0.206941
2.027008, 0.190780, 0.208577
2.038763, 0.192090, 0.210189
2.050528, 0.193355, 0.211756
2.062305, 0.194558, 0.213262
2.074091, 0.195687, 0.214693
2.085889, 0.196732, 0.216037
2.097697, 0.197689, 0.217288
2.109515, 0.198558, 0.218445
2.121344, 0.199341, 0.219510
2.133184, 0.200047, 0.220492
2.145035, 0.200687, 0.221402
2.156896, 0.201277, 0.222254
2.168768, 0.201833, 0.223066
2.180651, 0.202370, 0.223855
2.192545, 0.202905, 0.224638
2.204449, 0.203452, 0.225431
2.216364, 0.204023, 0.226249
2.228289, 0.204629, 0.227102
2.240226, 0.205275, 0.228001
2.252173, 0.205965, 0.228951
2.264132, 0.206698, 0.229955
2.276101, 0.207473, 0.231012
2.288081, 0.208283, 0.232116
2.300071, 0.209120, 0.233261
2.312073, 0.209974, 0.234435
2.324086, 0.210831, 0.235625
2.336109, 0.211680, 0.236817
2.348143, 0.212509, 0.237997
2.360189, 0.213307, 0.239153
2.372245, 0.214065, 0.240273
2.384312, 0.214778, 0.241351
2.396391, 0.215442, 0.242383
2.408480, 0.216057, 0.243369
2.420580, 0.216627, 0.244314
2.432691, 0.217157, 0.245225
2.444814, 0.217652, 0.246109
2.456947, 0.218120, 0.246976
2.469092, 0.218569, 0.247834
2.481247, 0.219004, 0.248691
2.493414, 0.219434, 0.249555
2.505592, 0.219863, 0.250431
2.517781, 0.220300, 0.251324
2.529981, 0.220750, 0.252239
2.542192, 0.221221, 0.253182
2.554415, 0.221721, 0.254157
2.566649, 0.222259, 0.255172
2.578894, 0.222841, 0.256232
2.591150, 0.223472, 0.257344
2.603417, 0.224155, 0.258509
2.615696, 0.224891, 0.259730
2.627986, 0.225676, 0.261003
2.640287, 0.226504, 0.262325
2.652600, 0.227367, 0.263687
2.664923, 0.228257, 0.265083
2.677259, 0.229166, 0.266505
2.689605, 0.230088, 0.267948
2.701963, 0.231021, 0.269409
2.714332, 0.231964, 0.270888
2.726713, 0.232919, 0.272390
2.739105, 0.233890, 0.273920
2.751509, 0.234883, 0.275485
2.763924, 0.235903, 0.277094
2.776351, 0.236954, 0.278752
2.788789, 0.238039, 0.280464
2.801238, 0.239160, 0.282233
2.813699, 0.240316, 0.284058
2.826172, 0.241507, 0.285939
2.838656, 0.242731, 0.287874
2.851151, 0.243986, 0.289859
2.863659, 0.245269, 0.291892
2.876177, 0.246578, 0.293973
2.888708, 0.247911, 0.296101
2.901250, 0.249264, 0.298275
2.913804, 0.250633, 0.300495
2.926369, 0.252012, 0.302761
2.938946, 0.253396, 0.305070
2.951535, 0.254776, 0.307420
2.964135, 0.256147, 0.309806
2.976747, 0.257500, 0.312222
2.989371, 0.258830, 0.314664
3.002007, 0.260133, 0.317126
3.014654, 0.261406, 0.319603
3.027314, 0.262649, 0.322092
3.039985, 0.263865, 0.324592
3.052668, 0.265058, 0.327104
3.065362, 0.266233, 0.329630
3.078069, 0.267399, 0.332176
3.090787, 0.268562, 0.334750
3.103518, 0.269730, 0.337360
3.116260, 0.270909, 0.340013
3.129014, 0.272100, 0.342716
3.141780, 0.273304, 0.345474
3.154558, 0.274516, 0.348287
3.167348, 0.275728, 0.351154
3.180150, 0.276929, 0.354067
3.192965, 0.278105, 0.357018
3.205791, 0.279240, 0.359995
3.218629, 0.280322, 0.362985
3.231479, 0.281336, 0.365977
3.244341, 0.282271, 0.368960
3.257215, 0.283120, 0.371928
3.270102, 0.283877, 0.374876
3.283001, 0.284539, 0.377804
3.295911, 0.285104, 0.380712
3.308834, 0.285571, 0.383601
3.321769, 0.285938, 0.386471
3.334716, 0.286203, 0.389321
3.347676, 0.286362, 0.392147
3.360648, 0.286408, 0.394941
3.373632, 0.286336, 0.397696
3.386628, 0.286140, 0.400400
3.399636, 0.285814, 0.403040
3.412657, 0.285352, 0.405604
3.425690, 0.284749, 0.408078
3.438736, 0.284000, 0.410448
3.451793, 0.283097, 0.412697
3.464864, 0.282032, 0.414805
3.477946, 0.280792, 0.416745
3.491041, 0.279363, 0.418484
3.504149, 0.277730, 0.419983
3.517268, 0.275877, 0.421198
3.530401, 0.273793, 0.422081
3.543545, 0.271472, 0.422588
3.556703, 0.268915, 0.422676
3.569872, 0.266133, 0.422316
3.583055, 0.263145, 0.421488
3.596250, 0.259978, 0.420191
3.609457, 0.256666, 0.418439
3.622677, 0.253244, 0.416259
3.635910, 0.249749, 0.413691
3.649155, 0.246212, 0.410785
3.662413, 0.242663, 0.407592
3.675683, 0.239121, 0.404160
3.688966, 0.235604, 0.400534
3.702262, 0.232118, 0.396749
3.715571, 0.228670, 0.392830
3.728892, 0.225261, 0.388794
3.742226, 0.221889, 0.384653
3.755573, 0.218556, 0.380410
3.768933, 0.215260, 0.376071
3.782305, 0.212004, 0.371639
3.795690, 0.208789, 0.367119
3.809088, 0.205618, 0.362519
3.822499, 0.202495, 0.357850
3.835923, 0.199424, 0.353124
3.849360, 0.196411, 0.348356
3.862809, 0.193460, 0.343561
3.876272, 0.190577, 0.338758
3.889747, 0.187770, 0.333968
3.903236, 0.185046, 0.329210
3.916737, 0.182413, 0.324508
3.930252, 0.179879, 0.319883
3.943779, 0.177449, 0.315354
3.957320, 0.175129, 0.310938
3.970873, 0.172919, 0.306646
3.984440, 0.170820, 0.302487
3.998020, 0.168828, 0.298462
4.011613, 0.166939, 0.294570
4.025219, 0.165146, 0.290805
4.038838, 0.163443, 0.287160
4.052470, 0.161822, 0.283628
4.066116, 0.160278, 0.280201
4.079774, 0.158805, 0.276874
4.093446, 0.157397, 0.273642
4.107132, 0.156050, 0.270504
4.120830, 0.154758, 0.267457
4.134542, 0.153517, 0.264501
4.148267, 0.152322, 0.261633
4.162005, 0.151166, 0.258850
4.175757, 0.150043, 0.256146
4.189522, 0.148948, 0.253512
4.203301, 0.147872, 0.250939
4.217093, 0.146810, 0.248413
4.230898, 0.145759, 0.245924
4.244717, 0.144715, 0.243461
4.258550, 0.143679, 0.241017
4.272395, 0.142656, 0.238587
4.286255, 0.141650, 0.236170
4.300127, 0.140669, 0.233767
4.314014, 0.139721, 0.231384
4.327914, 0.138816, 0.229023
4.341827, 0.137959, 0.226688
4.355754, 0.137154, 0.224383
4.369695, 0.136403, 0.222107
4.383650, 0.135703, 0.219860
4.397618, 0.135047, 0.217641
4.411599, 0.134429, 0.215443
4.425595, 0.133837, 0.213263
4.439604, 0.133260, 0.211095
4.453627, 0.132689, 0.208932
4.467664, 0.132114, 0.206771
4.481714, 0.131531, 0.204608
4.495779, 0.130935, 0.202440
4.509857, 0.130329, 0.200270
4.523949, 0.129715, 0.198100
4.538054, 0.129097, 0.195934
4.552174, 0.128482, 0.193778
4.566308, 0.127874, 0.191640
4.580455, 0.127278, 0.189527
4.594617, 0.126699, 0.187448
4.608792, 0.126140, 0.185410
4.622982, 0.125601, 0.183422
4.637185, 0.125084, 0.181491
4.651403, 0.124592, 0.179625
4.665635, 0.124124, 0.177831
4.679880, 0.123683, 0.176115
4.694140, 0.123270, 0.174483
4.708414, 0.122886, 0.172937
4.722702, 0.122532, 0.171479
4.737004, 0.122206, 0.170106
4.751320, 0.121906, 0.168816
4.765651, 0.121629, 0.167600
4.779996, 0.121372, 0.166452
4.794355, 0.121131, 0.165362
4.808728, 0.120906, 0.164324
4.823116, 0.120697, 0.163332
4.837517, 0.120505, 0.162381
4.851934, 0.120334, 0.161470
4.866364, 0.120188, 0.160599
4.880809, 0.120074, 0.159769
4.895268, 0.119994, 0.158982
4.909742, 0.119952, 0.158237
4.924230, 0.119948, 0.157537
4.938733, 0.119982, 0.156880
4.953250, 0.120050, 0.156264
4.967782, 0.120148, 0.155691
4.982328, 0.120270, 0.155157
4.996889, 0.120412, 0.154662
5.011464, 0.120567, 0.154207
5.026054, 0.120732, 0.153791
5.040658, 0.120902, 0.153416
5.055277, 0.121076, 0.153080
5.069911, 0.121250, 0.152782
5.084559, 0.121422, 0.152521
5.099222, 0.121590, 0.152294
5.113900, 0.121752, 0.152099
5.128593, 0.121910, 0.151934
5.143300, 0.122068, 0.151804
5.158022, 0.122233, 0.151712
5.172759, 0.122415, 0.151667
5.187511, 0.122626, 0.151681
5.202277, 0.122881, 0.151766
5.217059, 0.123191, 0.151932
5.231855, 0.123569, 0.152191
5.246667, 0.124022, 0.152548
5.261493, 0.124555, 0.153005
5.276334, 0.125171, 0.153561
5.291190, 0.125867, 0.154211
5.306062, 0.126640, 0.154946
5.320948, 0.127484, 0.155756
5.335849, 0.128392, 0.156631
5.350766, 0.129357, 0.157561
5.365697, 0.130374, 0.158536
5.380644, 0.131435, 0.159548
5.395605, 0.132538, 0.160590
5.410582, 0.133680, 0.161660
5.425575, 0.134860, 0.162754
5.440582, 0.136080, 0.163874
5.455604, 0.137345, 0.165023
5.470642, 0.138658, 0.166205
5.485696, 0.140024, 0.167427
5.500764, 0.141447, 0.168695
5.515848, 0.142930, 0.170015
5.530947, 0.144475, 0.171393
5.546062, 0.146083, 0.172835
5.561191, 0.147756, 0.174348
5.576337, 0.149496, 0.175937
5.591498, 0.151302, 0.177609
5.606674, 0.153177, 0.179368
5.621866, 0.155120, 0.181216
5.637073, 0.157128, 0.183152
5.652296, 0.159197, 0.185171
5.667534, 0.161316, 0.187260
5.682789, 0.163472, 0.189404
5.698058, 0.165648, 0.191581
5.713343, 0.167826, 0.193770
5.728644, 0.169987, 0.195948
5.743961, 0.172116, 0.198096
5.759294, 0.174204, 0.200203
5.774642, 0.176248, 0.202269
5.790006, 0.178254, 0.204303
5.805385, 0.180236, 0.206327
5.820781, 0.182212, 0.208369
5.836192, 0.184205, 0.210462
5.851619, 0.186233, 0.212635
5.867062, 0.188315, 0.214915
5.882521, 0.190461, 0.217320
5.897996, 0.192672, 0.219855
5.913487, 0.194945, 0.222521
5.928994, 0.197271, 0.225307
5.944517, 0.199636, 0.228200
5.960056, 0.202029, 0.231186
5.975611, 0.204436, 0.234250
5.991182, 0.206848, 0.237381
6.006769, 0.209257, 0.240568
6.022372, 0.211659, 0.243801
6.037992, 0.214050, 0.247073
6.053627, 0.216427, 0.250376
6.069279, 0.218792, 0.253704
6.084947, 0.221147, 0.257054
6.100632, 0.223494, 0.260426
6.116332, 0.225840, 0.263819
6.132049, 0.228190, 0.267238
6.147782, 0.230549, 0.270684
6.163532, 0.232921, 0.274162
6.179298, 0.235304, 0.277669
6.195081, 0.237692, 0.281200
6.210879, 0.240074, 0.284745
6.226695, 0.242431, 0.288285
6.242527, 0.244736, 0.291798
6.258375, 0.246960, 0.295252
6.274240, 0.249071, 0.298615
6.290121, 0.251035, 0.301852
6.306019, 0.252824, 0.304930
6.321934, 0.254411, 0.307820
6.337865, 0.255779, 0.310496
6.353813, 0.256918, 0.312940
6.369778, 0.257827, 0.315144
6.385759, 0.258511, 0.317103
6.401758, 0.258981, 0.318822
6.417773, 0.259251, 0.320308
6.433804, 0.259336, 0.321570
6.449853, 0.259243, 0.322616
6.465918, 0.258979, 0.323449
6.482001, 0.258541, 0.324065
6.498100, 0.257920, 0.324453
6.514216, 0.257103, 0.324595
6.530349, 0.256072, 0.324471
6.546499, 0.254813, 0.324059
6.562666, 0.253315, 0.323339
6.578850, 0.251574, 0.322302
6.595052, 0.249595, 0.320947
6.611270, 0.247394, 0.319284
6.627505, 0.244995, 0.317338
6.643758, 0.242431, 0.315143
6.660028, 0.239738, 0.312740
6.676315, 0.236954, 0.310173
6.692619, 0.234115, 0.307483
6.708940, 0.231255, 0.304710
6.725279, 0.228402, 0.301887
6.741635, 0.225576, 0.299041
6.758009, 0.222792, 0.296190
6.774399, 0.220056, 0.293347
6.790808, 0.217368, 0.290514
6.807233, 0.214721, 0.287688
6.823676, 0.212104, 0.284859
6.840137, 0.209506, 0.282017
6.856615, 0.206914, 0.279150
6.873111, 0.204324, 0.276252
6.889624, 0.201733, 0.273320
6.906154, 0.199143, 0.270359
6.922703, 0.196560, 0.267375
6.939269, 0.193990, 0.264375
6.955853, 0.191440, 0.261368
6.972454, 0.188913, 0.258358
6.989073, 0.186413, 0.255349
7.005710, 0.183943, 0.252344
7.022365, 0.181507, 0.249350
7.039037, 0.179114, 0.246374
7.055728, 0.176773, 0.243431
7.072436, 0.174495, 0.240535
7.089162, 0.172292, 0.237704
7.105906, 0.170174, 0.234952
7.122668, 0.168146, 0.232291
7.139448, 0.166210, 0.229724
7.156246, 0.164364, 0.227252
7.173062, 0.162599, 0.224867
7.189897, 0.160906, 0.222559
7.206749, 0.159275, 0.220315
7.223619, 0.157701, 0.218130
7.240508, 0.156181, 0.215999
7.257415, 0.154721, 0.213931
7.274340, 0.153332, 0.211940
7.291283, 0.152031, 0.210049
7.308245, 0.150834, 0.208284
7.325225, 0.149763, 0.206676
7.342223, 0.148831, 0.205249
7.359239, 0.148049, 0.204023
7.376274, 0.147421, 0.203009
7.393328, 0.146938, 0.202203
7.410400, 0.146589, 0.201591
7.427490, 0.146353, 0.201151
7.444599, 0.146207, 0.200854
7.461727, 0.146131, 0.200673
7.478873, 0.146105, 0.200580
7.496037, 0.146116, 0.200558
7.513221, 0.146155, 0.200594
7.530423, 0.146216, 0.200680
7.547643, 0.146298, 0.200812
7.564883, 0.146396, 0.200988
7.582141, 0.146508, 0.201201
7.599418, 0.146630, 0.201445
7.616714, 0.146753, 0.201710
7.634029, 0.146872, 0.201984
7.651362, 0.146978, 0.202256
7.668715, 0.147068, 0.202517
7.686086, 0.147141, 0.202763
7.703477, 0.147198, 0.202993
7.720886, 0.147244, 0.203213
7.738314, 0.147284, 0.203429
7.755762, 0.147322, 0.203647
7.773229, 0.147362, 0.203872
7.790715, 0.147403, 0.204107
7.808220, 0.147448, 0.204354
7.825744, 0.147499, 0.204618
7.843287, 0.147561, 0.204906
7.860850, 0.147645, 0.205234
7.878432, 0.147762, 0.205617
7.896033, 0.147926, 0.206075
7.913654, 0.148146, 0.206624
7.931294, 0.148426, 0.207273
7.948953, 0.148764, 0.208022
7.966632, 0.149149, 0.208861
7.984331, 0.149566, 0.209770
8.002049, 0.149998, 0.210725
8.019786, 0.150427, 0.211702
8.037543, 0.150843, 0.212679
8.055320, 0.151235, 0.213644
8.073117, 0.151602, 0.214587
8.090933, 0.151942, 0.215506
8.108768, 0.152251, 0.216398
8.126624, 0.152527, 0.217257
8.144499, 0.152763, 0.218076
8.162394, 0.152950, 0.218842
8.180309, 0.153078, 0.219543
8.198244, 0.153139, 0.220164
8.216199, 0.153125, 0.220692
8.234174, 0.153028, 0.221116
8.252168, 0.152842, 0.221424
8.270183, 0.152561, 0.221608
8.288218, 0.152181, 0.221657
8.306273, 0.151700, 0.221567
8.324348, 0.151118, 0.221332
8.342443, 0.150439, 0.220955
8.360558, 0.149673, 0.220446
8.378694, 0.148835, 0.219819
8.396849, 0.147940, 0.219096
8.415025, 0.147008, 0.218302
8.433222, 0.146055, 0.217458
8.451438, 0.145094, 0.216583
8.469676, 0.144132, 0.215685
8.487933, 0.143175, 0.214769
8.506211, 0.142220, 0.213831
8.524509, 0.141265, 0.212863
8.542828, 0.140305, 0.211856
8.561168, 0.139338, 0.210800
8.579528, 0.138362, 0.209689
8.597909, 0.137379, 0.208523
8.616310, 0.136395, 0.207308
8.634732, 0.135419, 0.206057
8.653175, 0.134459, 0.204786
8.671639, 0.133526, 0.203513
8.690123, 0.132625, 0.202254
8.708629, 0.131761, 0.201019
8.727155, 0.130932, 0.199813
8.745702, 0.130139, 0.198638
8.764270, 0.129381, 0.197495
8.782859, 0.128659, 0.196385
8.801469, 0.127977, 0.195313
8.820100, 0.127337, 0.194286
8.838752, 0.126745, 0.193313
8.857425, 0.126201, 0.192399
8.876119, 0.125704, 0.191548
8.894835, 0.125245, 0.190752
8.913572, 0.124810, 0.189996
8.932330, 0.124381, 0.189257
8.951109, 0.123940, 0.188507
8.969910, 0.123468, 0.187719
8.988732, 0.122952, 0.186871
9.007575, 0.122384, 0.185946
9.026440, 0.121762, 0.184938
9.045327, 0.121088, 0.183850
9.064235, 0.120374, 0.182694
9.083164, 0.119633, 0.181491
9.102115, 0.118882, 0.180265
9.121088, 0.118135, 0.179042
9.140082, 0.117403, 0.177844
9.159098, 0.116691, 0.176684
9.178136, 0.115996, 0.175565
9.197196, 0.115310, 0.174481
9.216277, 0.114618, 0.173418
9.235380, 0.113906, 0.172360
9.254506, 0.113157, 0.171284
9.273653, 0.112353, 0.170166
9.292822, 0.111472, 0.168972
9.312013, 0.110490, 0.167663
9.331226, 0.109383, 0.166195
9.350461, 0.108130, 0.164530
9.369719, 0.106723, 0.162642
9.388998, 0.105163, 0.160526
9.408300, 0.103467, 0.158194
9.427624, 0.101659, 0.155678
9.446970, 0.099768, 0.153014
9.466338, 0.097824, 0.150245
9.485729, 0.095855, 0.147408
9.505142, 0.093887, 0.144539
9.524578, 0.091943, 0.141669
9.544036, 0.090041, 0.138824
9.563517, 0.088195, 0.136024
9.583020, 0.086414, 0.133282
9.602546, 0.084703, 0.130606
9.622094, 0.083062, 0.127997
9.641665, 0.081487, 0.125453
9.661259, 0.079974, 0.122969
9.680875, 0.078518, 0.120543
9.700515, 0.077118, 0.118173
9.720177, 0.075774, 0.115864
9.739862, 0.074490, 0.113623
9.759570, 0.073273, 0.111463
9.779300, 0.072131, 0.109399
9.799054, 0.071071, 0.107441
9.818831, 0.070096, 0.105599
9.838631, 0.069205, 0.103872
9.858454, 0.068395, 0.102255
9.878300, 0.067657, 0.100738
9.898169, 0.066983, 0.099306
9.918061, 0.066364, 0.097944
9.937977, 0.065791, 0.096642
9.957916, 0.065261, 0.095393
9.977879, 0.064775, 0.094199
9.997865, 0.064338, 0.093066
10.017874, 0.063956, 0.092011
10.037906, 0.063640, 0.091050
10.057963, 0.063401, 0.090205
10.078042, 0.063246, 0.089490
10.098146, 0.063182, 0.088916
10.118273, 0.063209, 0.088485
10.138423, 0.063325, 0.088190
10.158598, 0.063526, 0.088020
10.178796, 0.063807, 0.087963
10.199018, 0.064165, 0.088007
10.219264, 0.064599, 0.088143
10.239533, 0.065112, 0.088367
10.259827, 0.065709, 0.088681
10.280144, 0.066395, 0.089088
10.300486, 0.067179, 0.089598
10.320852, 0.068071, 0.090219
10.341241, 0.069077, 0.090962
10.361655, 0.070205, 0.091832
10.382093, 0.071456, 0.092829
10.402555, 0.072832, 0.093949
10.423042, 0.074327, 0.095178
10.443553, 0.075935, 0.096500
10.464088, 0.077646, 0.097890
10.484648, 0.079447, 0.099323
10.505232, 0.081322, 0.100764
10.525840, 0.083256, 0.102179
10.546473, 0.085232, 0.103531
10.567131, 0.087239, 0.104795
10.587813, 0.089267, 0.105953
10.608520, 0.091316, 0.107005
10.629252, 0.093384, 0.107960
10.650008, 0.095471, 0.108840
10.670789, 0.097573, 0.109669
10.691595, 0.099680, 0.110466
10.712426, 0.101771, 0.111243
10.733282, 0.103821, 0.112000
10.754163, 0.105798, 0.112723
10.775069, 0.107672, 0.113390
10.796000, 0.109421, 0.113978
10.816956, 0.111032, 0.114464
10.837937, 0.112508, 0.114834
10.858943, 0.113861, 0.115085
10.879975, 0.115108, 0.115224
10.901032, 0.116273, 0.115270
10.922114, 0.117381, 0.115244
10.943222, 0.118454, 0.115175
10.964355, 0.119513, 0.115087
10.985513, 0.120573, 0.115002
11.006697, 0.121641, 0.114936
11.027907, 0.122719, 0.114893
11.049142, 0.123799, 0.114869
11.070403, 0.124873, 0.114850
11.091689, 0.125936, 0.114820
11.113002, 0.126993, 0.114766
