# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000832, 0.000853
0.020017, 0.001666, 0.001707
0.030037, 0.002503, 0.002565
0.040066, 0.003344, 0.003427
0.050104, 0.004191, 0.004294
0.060149, 0.005045, 0.005168
0.070204, 0.005905, 0.006049
0.080266, 0.006774, 0.006938
0.090337, 0.007652, 0.007836
0.100416, 0.008539, 0.008743
0.110503, 0.009435, 0.009658
0.120599, 0.010340, 0.010583
0.130704, 0.011254, 0.011516
0.140817, 0.012175, 0.012457
0.150938, 0.013103, 0.013404
0.161067, 0.014036, 0.014355
0.171206, 0.014973, 0.015310
0.181352, 0.015911, 0.016265
0.191507, 0.016848, 0.017219
0.201671, 0.017783, 0.018169
0.211843, 0.018712, 0.019113
0.222023, 0.019633, 0.020048
0.232212, 0.020546, 0.020972
0.242410, 0.021447, 0.021885
0.252616, 0.022338, 0.022784
0.262831, 0.023216, 0.023670
0.273054, 0.024084, 0.024543
0.283286, 0.024942, 0.025404
0.293526, 0.025792, 0.026257
0.303775, 0.026638, 0.027103
0.314032, 0.027482, 0.027945
0.324299, 0.028328, 0.028789
0.334573, 0.029179, 0.029636
0.344857, 0.030039, 0.030492
0.355149, 0.030911, 0.031359
0.365449, 0.031798, 0.032240
0.375759, 0.032702, 0.033139
0.386077, 0.033624, 0.034055
0.396404, 0.034567, 0.034990
0.406739, 0.035528, 0.035945
0.417083, 0.036510, 0.036919
0.427436, 0.037509, 0.037910
0.437798, 0.038524, 0.038916
0.448168, 0.039553, 0.039936
0.458547, 0.040594, 0.040966
0.468935, 0.041644, 0.042002
0.479332, 0.042699, 0.043043
0.489737, 0.043756, 0.044084
0.500151, 0.044813, 0.045123
0.510574, 0.045866, 0.046155
0.521006, 0.046914, 0.047179
0.531447, 0.047953, 0.048193
0.541896, 0.048984, 0.049194
0.552355, 0.050005, 0.050184
0.562822, 0.051017, 0.051160
0.573298, 0.052021, 0.052126
0.583783, 0.053018, 0.053082
0.594277, 0.054012, 0.054032
0.604780, 0.055005, 0.054979
0.615292, 0.056003, 0.055927
0.625812, 0.057010, 0.056880
0.636342, 0.058030, 0.057843
0.646881, 0.059067, 0.058822
0.657428, 0.060128, 0.059819
0.667985, 0.061215, 0.060840
0.678550, 0.062332, 0.061889
0.689125, 0.063483, 0.062968
0.699708, 0.064670, 0.064079
0.710301, 0.065894, 0.065225
0.720903, 0.067157, 0.066405
0.731513, 0.068458, 0.067622
0.742133, 0.069797, 0.068873
0.752762, 0.071172, 0.070157
0.763400, 0.072580, 0.071472
0.774047, 0.074018, 0.072815
0.784703, 0.075483, 0.074183
0.795368, 0.076970, 0.075573
0.806042, 0.078476, 0.076980
0.816726, 0.079994, 0.078401
0.827418, 0.081522, 0.079831
0.838120, 0.083054, 0.081268
0.848831, 0.084589, 0.082709
0.859551, 0.086122, 0.084151
0.870280, 0.087652, 0.085594
0.881019, 0.089179, 0.087037
0.891767, 0.090701, 0.088482
0.902524, 0.092221, 0.089928
0.913290, 0.093739, 0.091379
0.924066, 0.095258, 0.092837
0.934850, 0.096782, 0.094307
0.945645, 0.098312, 0.095792
0.956448, 0.099854, 0.097296
0.967261, 0.101410, 0.098824
0.978083, 0.102983, 0.100379
0.988914, 0.104576, 0.101963
0.999755, 0.106189, 0.103580
1.010605, 0.107823, 0.105230
1.021464, 0.109477, 0.106914
1.032333, 0.111150, 0.108630
1.043211, 0.112840, 0.110377
1.054099, 0.114541, 0.112152
1.064996, 0.116252, 0.113952
1.075902, 0.117966, 0.115772
1.086818, 0.119679, 0.117607
1.097744, 0.121387, 0.119453
1.108678, 0.123085, 0.121305
1.119623, 0.124769, 0.123158
1.130576, 0.126434, 0.125008
1.141540, 0.128078, 0.126849
1.152512, 0.129699, 0.128678
1.163495, 0.131294, 0.130493
1.174487, 0.132864, 0.132292
1.185488, 0.134410, 0.134072
1.196499, 0.135934, 0.135836
1.207520, 0.137440, 0.137583
1.218550, 0.138933, 0.139315
1.229590, 0.140418, 0.141037
1.240639, 0.141900, 0.142750
1.251698, 0.143385, 0.144458
1.262767, 0.144880, 0.146163
1.273845, 0.146388, 0.147869
1.284933, 0.147913, 0.149575
1.296031, 0.149458, 0.151283
1.307138, 0.151025, 0.152992
1.318255, 0.152614, 0.154698
1.329382, 0.154225, 0.156399
1.340518, 0.155857, 0.158089
1.351664, 0.157507, 0.159763
1.362820, 0.159172, 0.161414
1.373986, 0.160849, 0.163033
1.385162, 0.162533, 0.164613
1.396347, 0.164223, 0.166145
1.407542, 0.165913, 0.167621
1.418747, 0.167605, 0.169036
1.429962, 0.169298, 0.170386
1.441186, 0.170996, 0.171669
1.452421, 0.172704, 0.172887
1.463665, 0.174432, 0.174045
1.474920, 0.176190, 0.175152
1.486184, 0.177990, 0.176218
1.497458, 0.179845, 0.177257
1.508742, 0.181766, 0.178281
1.520036, 0.183763, 0.179303
1.531339, 0.185844, 0.180337
1.542653, 0.188012, 0.181392
1.553977, 0.190268, 0.182475
1.565311, 0.192607, 0.183594
1.576655, 0.195019, 0.184750
1.588008, 0.197493, 0.185945
1.599372, 0.200011, 0.187178
1.610746, 0.202555, 0.188445
1.622130, 0.205102, 0.189745
1.633524, 0.207628, 0.191072
1.644928, 0.210111, 0.192423
1.656342, 0.212527, 0.193795
1.667767, 0.214852, 0.195185
1.679201, 0.217068, 0.196593
1.690646, 0.219157, 0.198016
1.702100, 0.221107, 0.199457
1.713565, 0.222910, 0.200915
1.725040, 0.224562, 0.202394
1.736525, 0.226067, 0.203897
1.748021, 0.227430, 0.205425
1.759526, 0.228662, 0.206983
1.771042, 0.229776, 0.208574
1.782568, 0.230787, 0.210200
1.794105, 0.231708, 0.211863
1.805651, 0.232552, 0.213565
1.817208, 0.233331, 0.215304
1.828776, 0.234054, 0.217080
1.840353, 0.234728, 0.218887
1.851941, 0.235358, 0.220722
1.863539, 0.235948, 0.222578
1.875148, 0.236501, 0.224448
1.886767, 0.237020, 0.226323
1.898396, 0.237508, 0.228194
1.910036, 0.237969, 0.230053
1.921686, 0.238410, 0.231895
1.933346, 0.238837, 0.233712
1.945017, 0.239259, 0.235503
1.956699, 0.239687, 0.237267
1.968391, 0.240131, 0.239005
1.980093, 0.240602, 0.240721
1.991806, 0.241111, 0.242422
2.003529, 0.241665, 0.244112
2.015263, 0.242271, 0.245800
2.027008, 0.242935, 0.247492
2.038763, 0.243661, 0.249194
2.050528, 0.244450, 0.250912
2.062305, 0.245303, 0.252650
2.074091, 0.246219, 0.254413
2.085889, 0.247199, 0.256205
2.097697, 0.248240, 0.258027
2.109515, 0.249340, 0.259884
2.121344, 0.250496, 0.261775
2.133184, 0.251706, 0.263700
2.145035, 0.252965, 0.265660
2.156896, 0.254269, 0.267653
2.168768, 0.255615, 0.269676
2.180651, 0.256998, 0.271727
2.192545, 0.258415, 0.273803
2.204449, 0.259862, 0.275899
2.216364, 0.261335, 0.278012
2.228289, 0.262831, 0.280138
2.240226, 0.264349, 0.282273
2.252173, 0.265884, 0.284412
2.264132, 0.267438, 0.286553
2.276101, 0.269011, 0.288692
2.288081, 0.270603, 0.290829
2.300071, 0.272220, 0.292962
2.312073, 0.273867, 0.295095
2.324086, 0.275550, 0.297229
2.336109, 0.277278, 0.299371
2.348143, 0.279059, 0.301527
2.360189, 0.280902, 0.303705
2.372245, 0.282816, 0.305913
2.384312, 0.284809, 0.308161
2.396391, 0.286890, 0.310460
2.408480, 0.289067, 0.312820
2.420580, 0.291346, 0.315252
2.432691, 0.293734, 0.317765
2.444814, 0.296236, 0.320369
2.456947, 0.298853, 0.323071
2.469092, 0.301588, 0.325876
2.481247, 0.304439, 0.328788
2.493414, 0.307401, 0.331808
2.505592, 0.310471, 0.334934
2.517781, 0.313640, 0.338163
2.529981, 0.316901, 0.341491
2.542192, 0.320245, 0.344911
2.554415, 0.323665, 0.348418
2.566649, 0.327153, 0.352006
2.578894, 0.330704, 0.355671
2.591150, 0.334317, 0.359412
2.603417, 0.337990, 0.363228
2.615696, 0.341728, 0.367124
2.627986, 0.345536, 0.371107
2.640287, 0.349421, 0.375185
2.652600, 0.353392, 0.379372
2.664923, 0.357459, 0.383681
2.677259, 0.361629, 0.388127
2.689605, 0.365909, 0.392724
2.701963, 0.370304, 0.397486
2.714332, 0.374814, 0.402425
2.726713, 0.379437, 0.407550
2.739105, 0.384170, 0.412871
2.751509, 0.389007, 0.418395
2.763924, 0.393942, 0.424129
2.776351, 0.398968, 0.430081
2.788789, 0.404078, 0.436260
2.801238, 0.409267, 0.442675
2.813699, 0.414529, 0.449336
2.826172, 0.419858, 0.456255
2.838656, 0.425244, 0.463443
2.851151, 0.430679, 0.470909
2.863659, 0.436146, 0.478663
2.876177, 0.441626, 0.486706
2.888708, 0.447094, 0.495039
2.901250, 0.452518, 0.503654
2.913804, 0.457864, 0.512537
2.926369, 0.463089, 0.521668
2.938946, 0.468148, 0.531015
2.951535, 0.472993, 0.540543
2.964135, 0.477573, 0.550205
2.976747, 0.481836, 0.559948
2.989371, 0.485729, 0.569708
3.002007, 0.489200, 0.579417
3.014654, 0.492201, 0.588998
3.027314, 0.494684, 0.598368
3.039985, 0.496611, 0.607441
3.052668, 0.497951, 0.616131
3.065362, 0.498680, 0.624351
3.078069, 0.498787, 0.632024
3.090787, 0.498271, 0.639080
3.103518, 0.497142, 0.645462
3.116260, 0.495418, 0.651123
3.129014, 0.493124, 0.656033
3.141780, 0.490290, 0.660173
3.154558, 0.486950, 0.663534
3.167348, 0.483137, 0.666117
3.180150, 0.478887, 0.667929
3.192965, 0.474234, 0.668981
3.205791, 0.469215, 0.669290
3.218629, 0.463866, 0.668876
3.231479, 0.458225, 0.667764
3.244341, 0.452335, 0.665982
3.257215, 0.446238, 0.663569
3.270102, 0.439982, 0.660567
3.283001, 0.433616, 0.657029
3.295911, 0.427190, 0.653012
3.308834, 0.420754, 0.648581
3.321769, 0.414354, 0.643802
3.334716, 0.408031, 0.638743
3.347676, 0.401821, 0.633467
3.360648, 0.395750, 0.628035
3.373632, 0.389836, 0.622495
3.386628, 0.384087, 0.616887
3.399636, 0.378506, 0.611240
3.412657, 0.373085, 0.605570
3.425690, 0.367813, 0.599881
3.438736, 0.362677, 0.594169
3.451793, 0.357660, 0.588422
3.464864, 0.352744, 0.582622
3.477946, 0.347916, 0.576745
3.491041, 0.343161, 0.570771
3.504149, 0.338469, 0.564679
3.517268, 0.333836, 0.558454
3.530401, 0.329261, 0.552089
3.543545, 0.324748, 0.545585
3.556703, 0.320306, 0.538953
3.569872, 0.315947, 0.532212
3.583055, 0.311684, 0.525386
3.596250, 0.307530, 0.518506
3.609457, 0.303494, 0.511597
3.622677, 0.299581, 0.504687
3.635910, 0.295791, 0.497794
3.649155, 0.292115, 0.490930
3.662413, 0.288540, 0.484099
3.675683, 0.285048, 0.477297
3.688966, 0.281618, 0.470512
3.702262, 0.278230, 0.463732
3.715571, 0.274862, 0.456941
3.728892, 0.271500, 0.450126
3.742226, 0.268134, 0.443280
3.755573, 0.264759, 0.436402
3.768933, 0.261378, 0.429496
3.782305, 0.258000, 0.422573
3.795690, 0.254638, 0.415652
3.809088, 0.251308, 0.408751
3.822499, 0.248026, 0.401892
3.835923, 0.244811, 0.395097
3.849360, 0.241676, 0.388385
3.862809, 0.238634, 0.381772
3.876272, 0.235692, 0.375270
3.889747, 0.232854, 0.368886
3.903236, 0.230119, 0.362625
3.916737, 0.227482, 0.356488
3.930252, 0.224937, 0.350473
3.943779, 0.222473, 0.344576
3.957320, 0.220080, 0.338795
3.970873, 0.217750, 0.333128
3.984440, 0.215476, 0.327576
3.998020, 0.213253, 0.322144
4.011613, 0.211083, 0.316839
4.025219, 0.208970, 0.311675
4.038838, 0.206922, 0.306665
4.052470, 0.204949, 0.301827
4.066116, 0.203061, 0.297177
4.079774, 0.201270, 0.292729
4.093446, 0.199586, 0.288496
4.107132, 0.198015, 0.284487
4.120830, 0.196563, 0.280709
4.134542, 0.195231, 0.277162
4.148267, 0.194019, 0.273849
4.162005, 0.192923, 0.270766
4.175757, 0.191938, 0.267910
4.189522, 0.191055, 0.265273
4.203301, 0.190263, 0.262849
4.217093, 0.189547, 0.260625
4.230898, 0.188893, 0.258589
