# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000828, 0.000858
0.020017, 0.001657, 0.001716
0.030037, 0.002487, 0.002574
0.040066, 0.003316, 0.003433
0.050104, 0.004146, 0.004292
0.060149, 0.004975, 0.005150
0.070204, 0.005804, 0.006009
0.080266, 0.006632, 0.006866
0.090337, 0.007458, 0.007723
0.100416, 0.008284, 0.008578
0.110503, 0.009107, 0.009431
0.120599, 0.009929, 0.010282
0.130704, 0.010748, 0.011131
0.140817, 0.011564, 0.011977
0.150938, 0.012378, 0.012821
0.161067, 0.013189, 0.013662
0.171206, 0.013998, 0.014501
0.181352, 0.014804, 0.015337
0.191507, 0.015607, 0.016170
0.201671, 0.016409, 0.017002
0.211843, 0.017209, 0.017832
0.222023, 0.018007, 0.018660
0.232212, 0.018803, 0.019486
0.242410, 0.019598, 0.020312
0.252616, 0.020392, 0.021136
0.262831, 0.021184, 0.021958
0.273054, 0.021975, 0.022778
0.283286, 0.022764, 0.023597
0.293526, 0.023550, 0.024413
0.303775, 0.024334, 0.025226
0.314032, 0.025116, 0.026036
0.324299, 0.025895, 0.026844
0.334573, 0.026672, 0.027648
0.344857, 0.027447, 0.028450
0.355149, 0.028220, 0.029250
0.365449, 0.028993, 0.030049
0.375759, 0.029765, 0.030848
0.386077, 0.030538, 0.031646
0.396404, 0.031313, 0.032446
0.406739, 0.032090, 0.033248
0.417083, 0.032869, 0.034052
0.427436, 0.033652, 0.034859
0.437798, 0.034437, 0.035668
0.448168, 0.035226, 0.036481
0.458547, 0.036017, 0.037296
0.468935, 0.036812, 0.038115
0.479332, 0.037610, 0.038936
0.489737, 0.038411, 0.039760
0.500151, 0.039214, 0.040586
0.510574, 0.040021, 0.041415
0.521006, 0.040830, 0.042246
0.531447, 0.041643, 0.043080
0.541896, 0.042459, 0.043917
0.552355, 0.043277, 0.044756
0.562822, 0.044098, 0.045597
0.573298, 0.044921, 0.046439
0.583783, 0.045745, 0.047282
0.594277, 0.046568, 0.048123
0.604780, 0.047390, 0.048963
0.615292, 0.048209, 0.049798
0.625812, 0.049024, 0.050629
0.636342, 0.049832, 0.051452
0.646881, 0.050634, 0.052267
0.657428, 0.051427, 0.053072
0.667985, 0.052212, 0.053868
0.678550, 0.052989, 0.054653
0.689125, 0.053757, 0.055430
0.699708, 0.054518, 0.056197
0.710301, 0.055272, 0.056956
0.720903, 0.056022, 0.057710
0.731513, 0.056768, 0.058458
0.742133, 0.057511, 0.059202
0.752762, 0.058252, 0.059943
0.763400, 0.058993, 0.060682
0.774047, 0.059734, 0.061420
0.784703, 0.060475, 0.062156
0.795368, 0.061216, 0.062891
0.806042, 0.061958, 0.063625
0.816726, 0.062702, 0.064358
0.827418, 0.063447, 0.065090
0.838120, 0.064193, 0.065822
0.848831, 0.064943, 0.066553
0.859551, 0.065695, 0.067286
0.870280, 0.066452, 0.068019
0.881019, 0.067214, 0.068755
0.891767, 0.067981, 0.069493
0.902524, 0.068754, 0.070235
0.913290, 0.069534, 0.070979
0.924066, 0.070320, 0.071728
0.934850, 0.071114, 0.072480
0.945645, 0.071914, 0.073237
0.956448, 0.072723, 0.073997
0.967261, 0.073540, 0.074761
0.978083, 0.074366, 0.075531
0.988914, 0.075202, 0.076306
0.999755, 0.076050, 0.077088
1.010605, 0.076913, 0.077879
1.021464, 0.077792, 0.078681
1.032333, 0.078690, 0.079496
1.043211, 0.079610, 0.080327
1.054099, 0.080554, 0.081177
1.064996, 0.081527, 0.082049
1.075902, 0.082531, 0.082944
1.086818, 0.083569, 0.083867
1.097744, 0.084643, 0.084820
1.108678, 0.085757, 0.085806
1.119623, 0.086914, 0.086827
1.130576, 0.088116, 0.087886
1.141540, 0.089366, 0.088986
1.152512, 0.090667, 0.090130
1.163495, 0.092023, 0.091322
1.174487, 0.093436, 0.092564
1.185488, 0.094908, 0.093859
1.196499, 0.096444, 0.095211
1.207520, 0.098043, 0.096621
1.218550, 0.099710, 0.098092
1.229590, 0.101443, 0.099626
1.240639, 0.103243, 0.101223
1.251698, 0.105109, 0.102882
1.262767, 0.107041, 0.104604
1.273845, 0.109034, 0.106386
1.284933, 0.111086, 0.108226
1.296031, 0.113192, 0.110120
1.307138, 0.115349, 0.112064
1.318255, 0.117550, 0.114055
1.329382, 0.119789, 0.116087
1.340518, 0.122062, 0.118156
1.351664, 0.124361, 0.120254
1.362820, 0.126681, 0.122378
1.373986, 0.129015, 0.124522
1.385162, 0.131357, 0.126678
1.396347, 0.133700, 0.128843
1.407542, 0.136041, 0.131010
1.418747, 0.138374, 0.133174
1.429962, 0.140696, 0.135332
1.441186, 0.143004, 0.137480
1.452421, 0.145298, 0.139616
1.463665, 0.147579, 0.141740
1.474920, 0.149850, 0.143852
1.486184, 0.152115, 0.145956
1.497458, 0.154382, 0.148055
1.508742, 0.156659, 0.150157
1.520036, 0.158955, 0.152268
1.531339, 0.161281, 0.154396
1.542653, 0.163647, 0.156551
1.553977, 0.166064, 0.158742
1.565311, 0.168543, 0.160979
1.576655, 0.171093, 0.163269
1.588008, 0.173721, 0.165619
1.599372, 0.176433, 0.168037
1.610746, 0.179234, 0.170525
1.622130, 0.182125, 0.173086
1.633524, 0.185106, 0.175721
1.644928, 0.188178, 0.178430
1.656342, 0.191338, 0.181210
1.667767, 0.194584, 0.184061
1.679201, 0.197912, 0.186980
1.690646, 0.201321, 0.189966
1.702100, 0.204811, 0.193016
1.713565, 0.208379, 0.196131
1.725040, 0.212028, 0.199312
1.736525, 0.215760, 0.202561
1.748021, 0.219580, 0.205881
1.759526, 0.223495, 0.209278
1.771042, 0.227512, 0.212759
1.782568, 0.231641, 0.216333
1.794105, 0.235893, 0.220007
1.805651, 0.240280, 0.223793
1.817208, 0.244811, 0.227699
1.828776, 0.249498, 0.231735
1.840353, 0.254349, 0.235909
1.851941, 0.259372, 0.240226
1.863539, 0.264571, 0.244694
1.875148, 0.269950, 0.249313
1.886767, 0.275512, 0.254087
1.898396, 0.281256, 0.259017
1.910036, 0.287182, 0.264101
1.921686, 0.293290, 0.269339
1.933346, 0.299578, 0.274731
1.945017, 0.306046, 0.280274
1.956699, 0.312692, 0.285970
1.968391, 0.319518, 0.291818
1.980093, 0.326525, 0.297821
1.991806, 0.333716, 0.303980
2.003529, 0.341094, 0.310299
2.015263, 0.348666, 0.316782
2.027008, 0.356436, 0.323436
2.038763, 0.364413, 0.330265
2.050528, 0.372604, 0.337277
2.062305, 0.381018, 0.344479
2.074091, 0.389666, 0.351880
2.085889, 0.398558, 0.359489
2.097697, 0.407707, 0.367315
2.109515, 0.417127, 0.375368
2.121344, 0.426832, 0.383662
2.133184, 0.436840, 0.392210
2.145035, 0.447169, 0.401027
2.156896, 0.457838, 0.410132
2.168768, 0.468870, 0.419542
2.180651, 0.480285, 0.429280
2.192545, 0.492106, 0.439367
2.204449, 0.504352, 0.449826
2.216364, 0.517040, 0.460678
2.228289, 0.530184, 0.471945
2.240226, 0.543792, 0.483643
2.252173, 0.557867, 0.495789
2.264132, 0.572407, 0.508396
2.276101, 0.587405, 0.521472
2.288081, 0.602845, 0.535025
2.300071, 0.618709, 0.549056
2.312073, 0.634969, 0.563566
2.324086, 0.651594, 0.578551
2.336109, 0.668542, 0.594001
2.348143, 0.685767, 0.609902
2.360189, 0.703213, 0.626233
2.372245, 0.720815, 0.642966
2.384312, 0.738504, 0.660067
2.396391, 0.756205, 0.677493
2.408480, 0.773843, 0.695199
2.420580, 0.791344, 0.713134
2.432691, 0.808642, 0.731248
2.444814, 0.825682, 0.749493
2.456947, 0.842423, 0.767830
2.469092, 0.858842, 0.786225
2.481247, 0.874930, 0.804657
2.493414, 0.890693, 0.823119
