0	0	0
0.010004	0.000832	0.000853
0.020017	0.001666	0.001707
0.030037	0.002503	0.002565
0.040066	0.003344	0.003427
0.050104	0.004191	0.004294
0.060149	0.005045	0.005168
0.070204	0.005905	0.006049
0.080266	0.006774	0.006938
0.090337	0.007652	0.007836
0.100416	0.008539	0.008743
0.110503	0.009435	0.009658
0.120599	0.01034	0.010583
0.130704	0.011254	0.011516
0.140817	0.012175	0.012457
0.150938	0.013103	0.013404
0.161067	0.014036	0.014355
0.171206	0.014973	0.01531
0.181352	0.015911	0.016265
0.191507	0.016848	0.017219
0.201671	0.017783	0.018169
0.211843	0.018712	0.019113
0.222023	0.019633	0.020048
0.232212	0.020546	0.020972
0.24241	0.021447	0.021885
0.252616	0.022338	0.022784
0.262831	0.023216	0.02367
0.273054	0.024084	0.024543
0.283286	0.024942	0.025404
0.293526	0.025792	0.026257
0.303775	0.026638	0.027103
0.314032	0.027482	0.027945
0.324299	0.028328	0.028789
0.334573	0.029179	0.029636
0.344857	0.030039	0.030492
0.355149	0.030911	0.031359
0.365449	0.031798	0.03224
0.375759	0.032702	0.033139
0.386077	0.033624	0.034055
0.396404	0.034567	0.03499
0.406739	0.035528	0.035945
0.417083	0.03651	0.036919
0.427436	0.037509	0.03791
0.437798	0.038524	0.038916
0.448168	0.039553	0.039936
0.458547	0.040594	0.040966
0.468935	0.041644	0.042002
0.479332	0.042699	0.043043
0.489737	0.043756	0.044084
0.500151	0.044813	0.045123
0.510574	0.045866	0.046155
0.521006	0.046914	0.047179
0.531447	0.047953	0.048193
0.541896	0.048984	0.049194
0.552355	0.050005	0.050184
0.562822	0.051017	0.05116
0.573298	0.052021	0.052126
0.583783	0.053018	0.053082
0.594277	0.054012	0.054032
0.60478	0.055005	0.054979
0.615292	0.056003	0.055927
0.625812	0.05701	0.05688
0.636342	0.05803	0.057843
0.646881	0.059067	0.058822
0.657428	0.060128	0.059819
0.667985	0.061215	0.06084
0.67855	0.062332	0.061889
0.689125	0.063483	0.062968
0.699708	0.06467	0.064079
0.710301	0.065894	0.065225
0.720903	0.067157	0.066405
0.731513	0.068458	0.067622
0.742133	0.069797	0.068873
0.752762	0.071172	0.070157
0.7634	0.07258	0.071472
0.774047	0.074018	0.072815
0.784703	0.075483	0.074183
0.795368	0.07697	0.075573
0.806042	0.078476	0.07698
0.816726	0.079994	0.078401
0.827418	0.081522	0.079831
0.83812	0.083054	0.081268
0.848831	0.084589	0.082709
0.859551	0.086122	0.084151
0.87028	0.087652	0.085594
0.881019	0.089179	0.087037
0.891767	0.090701	0.088482
0.902524	0.092221	0.089928
0.91329	0.093739	0.091379
0.924066	0.095258	0.092837
0.93485	0.096782	0.094307
0.945645	0.098312	0.095792
0.956448	0.099854	0.097296
0.967261	0.10141	0.098824
0.978083	0.102983	0.100379
0.988914	0.104576	0.101963
0.999755	0.106189	0.10358
1.010605	0.107823	0.10523
1.021464	0.109477	0.106914
1.032333	0.11115	0.10863
1.043211	0.11284	0.110377
1.054099	0.114541	0.112152
1.064996	0.116252	0.113952
1.075902	0.117966	0.115772
1.086818	0.119679	0.117607
1.097744	0.121387	0.119453
1.108678	0.123085	0.121305
1.119623	0.124769	0.123158
1.130576	0.126434	0.125008
1.14154	0.128078	0.126849
1.152512	0.129699	0.128678
1.163495	0.131294	0.130493
1.174487	0.132864	0.132292
1.185488	0.13441	0.134072
1.196499	0.135934	0.135836
1.20752	0.13744	0.137583
1.21855	0.138933	0.139315
1.22959	0.140418	0.141037
1.240639	0.1419	0.14275
1.251698	0.143385	0.144458
1.262767	0.14488	0.146163
1.273845	0.146388	0.147869
1.284933	0.147913	0.149575
1.296031	0.149458	0.151283
1.307138	0.151025	0.152992
1.318255	0.152614	0.154698
1.329382	0.154225	0.156399
1.340518	0.155857	0.158089
1.351664	0.157507	0.159763
1.36282	0.159172	0.161414
1.373986	0.160849	0.163033
1.385162	0.162533	0.164613
1.396347	0.164223	0.166145
1.407542	0.165913	0.167621
1.418747	0.167605	0.169036
1.429962	0.169298	0.170386
1.441186	0.170996	0.171669
1.452421	0.172704	0.172887
1.463665	0.174432	0.174045
1.47492	0.17619	0.175152
1.486184	0.17799	0.176218
1.497458	0.179845	0.177257
1.508742	0.181766	0.178281
1.520036	0.183763	0.179303
1.531339	0.185844	0.180337
1.542653	0.188012	0.181392
1.553977	0.190268	0.182475
1.565311	0.192607	0.183594
1.576655	0.195019	0.18475
1.588008	0.197493	0.185945
1.599372	0.200011	0.187178
1.610746	0.202555	0.188445
1.62213	0.205102	0.189745
1.633524	0.207628	0.191072
1.644928	0.210111	0.192423
1.656342	0.212527	0.193795
1.667767	0.214852	0.195185
1.679201	0.217068	0.196593
1.690646	0.219157	0.198016
1.7021	0.221107	0.199457
1.713565	0.22291	0.200915
1.72504	0.224562	0.202394
1.736525	0.226067	0.203897
1.748021	0.22743	0.205425
1.759526	0.228662	0.206983
1.771042	0.229776	0.208574
1.782568	0.230787	0.2102
1.794105	0.231708	0.211863
1.805651	0.232552	0.213565
1.817208	0.233331	0.215304
1.828776	0.234054	0.21708
1.840353	0.234728	0.218887
1.851941	0.235358	0.220722
1.863539	0.235948	0.222578
1.875148	0.236501	0.224448
1.886767	0.23702	0.226323
1.898396	0.237508	0.228194
1.910036	0.237969	0.230053
1.921686	0.23841	0.231895
1.933346	0.238837	0.233712
1.945017	0.239259	0.235503
1.956699	0.239687	0.237267
1.968391	0.240131	0.239005
1.980093	0.240602	0.240721
1.991806	0.241111	0.242422
2.003529	0.241665	0.244112
2.015263	0.242271	0.2458
