# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000868, 0.000907
0.020017, 0.001737, 0.001814
0.030037, 0.002606, 0.002722
0.040066, 0.003475, 0.003630
0.050104, 0.004344, 0.004538
0.060149, 0.005213, 0.005446
0.070204, 0.006082, 0.006353
0.080266, 0.006950, 0.007260
0.090337, 0.007816, 0.008165
0.100416, 0.008681, 0.009069
0.110503, 0.009544, 0.009971
0.120599, 0.010404, 0.010869
0.130704, 0.011261, 0.011765
0.140817, 0.012115, 0.012658
0.150938, 0.012966, 0.013547
0.161067, 0.013813, 0.014432
0.171206, 0.014657, 0.015314
0.181352, 0.015497, 0.016192
0.191507, 0.016335, 0.017067
0.201671, 0.017170, 0.017940
0.211843, 0.018002, 0.018809
0.222023, 0.018833, 0.019677
0.232212, 0.019662, 0.020543
0.242410, 0.020489, 0.021408
0.252616, 0.021316, 0.022271
0.262831, 0.022142, 0.023134
0.273054, 0.022967, 0.023995
0.283286, 0.023791, 0.024855
0.293526, 0.024614, 0.025714
0.303775, 0.025436, 0.026571
0.314032, 0.026255, 0.027425
0.324299, 0.027074, 0.028278
0.334573, 0.027890, 0.029129
0.344857, 0.028705, 0.029977
0.355149, 0.029519, 0.030824
0.365449, 0.030333, 0.031670
0.375759, 0.031147, 0.032516
0.386077, 0.031962, 0.033362
0.396404, 0.032779, 0.034210
0.406739, 0.033598, 0.035059
0.417083, 0.034422, 0.035912
0.427436, 0.035249, 0.036768
0.437798, 0.036080, 0.037627
0.448168, 0.036915, 0.038490
0.458547, 0.037755, 0.039357
0.468935, 0.038599, 0.040227
0.479332, 0.039446, 0.041100
0.489737, 0.040297, 0.041976
0.500151, 0.041151, 0.042855
0.510574, 0.042009, 0.043736
0.521006, 0.042870, 0.044619
0.531447, 0.043735, 0.045506
0.541896, 0.044605, 0.046396
0.552355, 0.045480, 0.047290
0.562822, 0.046361, 0.048189
0.573298, 0.047248, 0.049093
0.583783, 0.048142, 0.050003
0.594277, 0.049043, 0.050918
0.604780, 0.049950, 0.051839
0.615292, 0.050864, 0.052765
0.625812, 0.051784, 0.053696
0.636342, 0.052709, 0.054632
