# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000483, 0.000486
0.020017, 0.000965, 0.000971
0.030037, 0.001449, 0.001457
0.040066, 0.001932, 0.001944
0.050104, 0.002415, 0.002430
0.060149, 0.002898, 0.002916
0.070204, 0.003382, 0.003402
0.080266, 0.003865, 0.003887
0.090337, 0.004348, 0.004373
0.100416, 0.004830, 0.004858
0.110503, 0.005312, 0.005342
0.120599, 0.005794, 0.005827
0.130704, 0.006276, 0.006310
0.140817, 0.006757, 0.006793
0.150938, 0.007239, 0.007276
0.161067, 0.007720, 0.007758
0.171206, 0.008200, 0.008240
0.181352, 0.008681, 0.008722
0.191507, 0.009163, 0.009204
0.201671, 0.009644, 0.009686
0.211843, 0.010127, 0.010168
0.222023, 0.010610, 0.010651
0.232212, 0.011095, 0.011134
0.242410, 0.011581, 0.011620
0.252616, 0.012070, 0.012107
0.262831, 0.012562, 0.012596
0.273054, 0.013057, 0.013089
0.283286, 0.013557, 0.013586
0.293526, 0.014062, 0.014087
0.303775, 0.014573, 0.014593
0.314032, 0.015090, 0.015105
0.324299, 0.015616, 0.015625
0.334573, 0.016150, 0.016153
0.344857, 0.016694, 0.016690
0.355149, 0.017249, 0.017237
0.365449, 0.017815, 0.017795
0.375759, 0.018395, 0.018366
0.386077, 0.018989, 0.018950
0.396404, 0.019598, 0.019548
0.406739, 0.020224, 0.020162
0.417083, 0.020867, 0.020792
0.427436, 0.021529, 0.021440
0.437798, 0.022210, 0.022106
0.448168, 0.022913, 0.022793
0.458547, 0.023637, 0.023500
0.468935, 0.024385, 0.024229
0.479332, 0.025158, 0.024981
0.489737, 0.025956, 0.025757
0.500151, 0.026781, 0.026559
0.510574, 0.027635, 0.027388
0.521006, 0.028519, 0.028245
0.531447, 0.029434, 0.029132
0.541896, 0.030382, 0.030049
0.552355, 0.031364, 0.030999
0.562822, 0.032381, 0.031982
0.573298, 0.033436, 0.033000
0.583783, 0.034530, 0.034055
0.594277, 0.035664, 0.035147
0.604780, 0.036840, 0.036279
0.615292, 0.038058, 0.037451
0.625812, 0.039321, 0.038664
0.636342, 0.040628, 0.039921
0.646881, 0.041982, 0.041221
0.657428, 0.043382, 0.042564
0.667985, 0.044828, 0.043952
0.678550, 0.046321, 0.045385
0.689125, 0.047859, 0.046861
0.699708, 0.049442, 0.048379
0.710301, 0.051067, 0.049939
0.720903, 0.052732, 0.051538
0.731513, 0.054433, 0.053173
0.742133, 0.056168, 0.054841
0.752762, 0.057930, 0.056538
0.763400, 0.059715, 0.058258
0.774047, 0.061518, 0.059998
0.784703, 0.063331, 0.061750
0.795368, 0.065149, 0.063510
0.806042, 0.066965, 0.065271
0.816726, 0.068772, 0.067027
0.827418, 0.070566, 0.068773
0.838120, 0.072340, 0.070503
0.848831, 0.074090, 0.072214
0.859551, 0.075813, 0.073900
0.870280, 0.077506, 0.075560
0.881019, 0.079166, 0.077191
0.891767, 0.080792, 0.078790
0.902524, 0.082383, 0.080357
0.913290, 0.083940, 0.081892
0.924066, 0.085462, 0.083394
0.934850, 0.086950, 0.084864
0.945645, 0.088405, 0.086302
0.956448, 0.089830, 0.087710
0.967261, 0.091225, 0.089088
0.978083, 0.092593, 0.090439
0.988914, 0.093938, 0.091766
0.999755, 0.095263, 0.093071
1.010605, 0.096571, 0.094359
1.021464, 0.097869, 0.095632
1.032333, 0.099158, 0.096896
1.043211, 0.100446, 0.098155
1.054099, 0.101734, 0.099411
1.064996, 0.103028, 0.100670
1.075902, 0.104330, 0.101934
1.086818, 0.105644, 0.103205
1.097744, 0.106970, 0.104486
1.108678, 0.108311, 0.105779
1.119623, 0.109668, 0.107083
1.130576, 0.111040, 0.108400
1.141540, 0.112429, 0.109729
1.152512, 0.113834, 0.111072
1.163495, 0.115255, 0.112428
1.174487, 0.116693, 0.113796
1.185488, 0.118148, 0.115178
1.196499, 0.119620, 0.116574
1.207520, 0.121111, 0.117984
1.218550, 0.122621, 0.119409
1.229590, 0.124151, 0.120851
1.240639, 0.125702, 0.122310
1.251698, 0.127276, 0.123787
1.262767, 0.128874, 0.125284
1.273845, 0.130496, 0.126801
1.284933, 0.132144, 0.128339
1.296031, 0.133816, 0.129897
1.307138, 0.135514, 0.131477
1.318255, 0.137237, 0.133078
1.329382, 0.138985, 0.134700
1.340518, 0.140758, 0.136342
1.351664, 0.142556, 0.138005
1.362820, 0.144381, 0.139689
1.373986, 0.146231, 0.141394
1.385162, 0.148108, 0.143121
1.396347, 0.150013, 0.144870
1.407542, 0.151947, 0.146642
1.418747, 0.153911, 0.148439
1.429962, 0.155908, 0.150262
1.441186, 0.157938, 0.152113
1.452421, 0.160005, 0.153993
1.463665, 0.162111, 0.155905
1.474920, 0.164258, 0.157851
1.486184, 0.166450, 0.159835
1.497458, 0.168690, 0.161858
1.508742, 0.170979, 0.163922
1.520036, 0.173320, 0.166031
1.531339, 0.175716, 0.168185
1.542653, 0.178166, 0.170385
1.553977, 0.180672, 0.172633
1.565311, 0.183235, 0.174927
1.576655, 0.185852, 0.177267
1.588008, 0.188525, 0.179654
1.599372, 0.191251, 0.182085
1.610746, 0.194030, 0.184559
1.622130, 0.196861, 0.187076
1.633524, 0.199742, 0.189634
1.644928, 0.202673, 0.192232
1.656342, 0.205655, 0.194871
1.667767, 0.208687, 0.197551
1.679201, 0.211774, 0.200273
1.690646, 0.214918, 0.203041
1.702100, 0.218125, 0.205858
1.713565, 0.221399, 0.208730
1.725040, 0.224749, 0.211661
1.736525, 0.228182, 0.214659
1.748021, 0.231704, 0.217728
1.759526, 0.235322, 0.220877
1.771042, 0.239044, 0.224110
1.782568, 0.242874, 0.227432
1.794105, 0.246817, 0.230847
1.805651, 0.250877, 0.234360
1.817208, 0.255056, 0.237972
1.828776, 0.259357, 0.241686
1.840353, 0.263781, 0.245503
1.851941, 0.268329, 0.249423
1.863539, 0.273003, 0.253449
1.875148, 0.277804, 0.257580
1.886767, 0.282732, 0.261819
1.898396, 0.287791, 0.266164
1.910036, 0.292980, 0.270618
1.921686, 0.298300, 0.275180
1.933346, 0.303753, 0.279851
1.945017, 0.309339, 0.284630
1.956699, 0.315059, 0.289516
1.968391, 0.320913, 0.294511
1.980093, 0.326905, 0.299615
1.991806, 0.333038, 0.304831
2.003529, 0.339318, 0.310163
2.015263, 0.345753, 0.315617
2.027008, 0.352352, 0.321201
2.038763, 0.359125, 0.326924
2.050528, 0.366083, 0.332795
2.062305, 0.373237, 0.338823
2.074091, 0.380596, 0.345017
2.085889, 0.388168, 0.351383
2.097697, 0.395959, 0.357929
2.109515, 0.403975, 0.364657
2.121344, 0.412217, 0.371570
2.133184, 0.420689, 0.378671
2.145035, 0.429392, 0.385961
2.156896, 0.438329, 0.393440
2.168768, 0.447501, 0.401111
