# energy, eels_NLFC_w, eels_LFC_w
2.015263, 0.144602, 0.160663
2.027008, 0.144871, 0.161182
2.038763, 0.145108, 0.161665
2.050528, 0.145317, 0.162116
2.062305, 0.145502, 0.162539
2.074091, 0.145669, 0.162941
2.085889, 0.145822, 0.163324
2.097697, 0.145964, 0.163696
2.109515, 0.146098, 0.164059
2.121344, 0.146226, 0.164417
2.133184, 0.146351, 0.164774
2.145035, 0.146472, 0.165130
2.156896, 0.146590, 0.165489
2.168768, 0.146705, 0.165850
2.180651, 0.146819, 0.166216
2.192545, 0.146932, 0.166587
2.204449, 0.147044, 0.166965
2.216364, 0.147158, 0.167351
2.228289, 0.147274, 0.167747
2.240226, 0.147392, 0.168153
2.252173, 0.147514, 0.168569
2.264132, 0.147637, 0.168993
2.276101, 0.147762, 0.169425
2.288081, 0.147885, 0.169861
2.300071, 0.148003, 0.170297
2.312073, 0.148113, 0.170728
2.324086, 0.148211, 0.171150
2.336109, 0.148295, 0.171558
2.348143, 0.148362, 0.171949
2.360189, 0.148413, 0.172322
2.372245, 0.148447, 0.172676
2.384312, 0.148469, 0.173014
2.396391, 0.148483, 0.173340
2.408480, 0.148495, 0.173661
2.420580, 0.148513, 0.173984
2.432691, 0.148543, 0.174318
2.444814, 0.148593, 0.174671
2.456947, 0.148669, 0.175052
2.469092, 0.148773, 0.175467
2.481247, 0.148908, 0.175918
2.493414, 0.149071, 0.176406
2.505592, 0.149258, 0.176931
2.517781, 0.149464, 0.177486
2.529981, 0.149683, 0.178067
2.542192, 0.149908, 0.178668
2.554415, 0.150133, 0.179281
2.566649, 0.150354, 0.179903
2.578894, 0.150568, 0.180529
2.591150, 0.150775, 0.181158
2.603417, 0.150976, 0.181789
2.615696, 0.151173, 0.182425
2.627986, 0.151372, 0.183067
2.640287, 0.151574, 0.183718
2.652600, 0.151784, 0.184382
2.664923, 0.152003, 0.185058
2.677259, 0.152232, 0.185747
2.689605, 0.152472, 0.186448
2.701963, 0.152720, 0.187156
2.714332, 0.152975, 0.187867
2.726713, 0.153232, 0.188576
2.739105, 0.153489, 0.189277
2.751509, 0.153742, 0.189964
2.763924, 0.153989, 0.190633
2.776351, 0.154228, 0.191280
2.788789, 0.154457, 0.191903
