# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000809, 0.000818
0.020017, 0.001621, 0.001639
0.030037, 0.002436, 0.002463
0.040066, 0.003256, 0.003293
0.050104, 0.004083, 0.004129
0.060149, 0.004917, 0.004973
0.070204, 0.005761, 0.005827
0.080266, 0.006615, 0.006690
0.090337, 0.007481, 0.007566
0.100416, 0.008359, 0.008453
0.110503, 0.009250, 0.009354
0.120599, 0.010154, 0.010269
0.130704, 0.011072, 0.011197
0.140817, 0.012003, 0.012139
0.150938, 0.012948, 0.013095
0.161067, 0.013905, 0.014062
0.171206, 0.014873, 0.015042
0.181352, 0.015851, 0.016030
0.191507, 0.016836, 0.017027
0.201671, 0.017827, 0.018028
0.211843, 0.018820, 0.019031
0.222023, 0.019811, 0.020033
0.232212, 0.020799, 0.021030
0.242410, 0.021779, 0.022019
0.252616, 0.022748, 0.022995
0.262831, 0.023702, 0.023956
0.273054, 0.024639, 0.024899
0.283286, 0.025558, 0.025821
0.293526, 0.026456, 0.026720
0.303775, 0.027333, 0.027598
0.314032, 0.028191, 0.028454
0.324299, 0.029030, 0.029289
0.334573, 0.029855, 0.030108
0.344857, 0.030669, 0.030914
0.355149, 0.031477, 0.031712
0.365449, 0.032284, 0.032507
0.375759, 0.033096, 0.033305
0.386077, 0.033917, 0.034113
0.396404, 0.034755, 0.034935
0.406739, 0.035613, 0.035777
0.417083, 0.036496, 0.036643
0.427436, 0.037407, 0.037537
0.437798, 0.038350, 0.038463
0.448168, 0.039324, 0.039420
0.458547, 0.040332, 0.040412
0.468935, 0.041373, 0.041436
0.479332, 0.042445, 0.042493
0.489737, 0.043548, 0.043579
0.500151, 0.044678, 0.044693
0.510574, 0.045831, 0.045831
0.521006, 0.047004, 0.046988
0.531447, 0.048193, 0.048160
0.541896, 0.049391, 0.049341
0.552355, 0.050594, 0.050525
0.562822, 0.051796, 0.051706
0.573298, 0.052991, 0.052878
0.583783, 0.054174, 0.054035
0.594277, 0.055338, 0.055171
0.604780, 0.056481, 0.056282
0.615292, 0.057598, 0.057363
0.625812, 0.058689, 0.058414
0.636342, 0.059752, 0.059434
0.646881, 0.060790, 0.060424
0.657428, 0.061805, 0.061388
0.667985, 0.062804, 0.062331
0.678550, 0.063792, 0.063260
0.689125, 0.064778, 0.064183
0.699708, 0.065769, 0.065110
0.710301, 0.066775, 0.066048
0.720903, 0.067804, 0.067008
0.731513, 0.068863, 0.067998
0.742133, 0.069961, 0.069025
0.752762, 0.071102, 0.070096
0.763400, 0.072293, 0.071216
0.774047, 0.073536, 0.072390
0.784703, 0.074834, 0.073619
0.795368, 0.076187, 0.074906
0.806042, 0.077595, 0.076250
0.816726, 0.079057, 0.077650
0.827418, 0.080568, 0.079103
