0	2.229653
0.0025	2.23
0.01	2.235
0.0225	2.24
0.04	2.25
0.0625	2.265
0.09	2.28
0.1225	2.3
0.16	2.32
0.2025	2.35
0.25	2.38
0.3025	2.415
0.36	2.455
0.4225	2.5
0.49	2.555
0.5625	2.615
0.64	2.685
0.7225	2.765
0.81	2.855
0.9025	2.96
1	3.08
