       0.000000       1.864513       0.445520
       0.040000       1.865000       0.445520
       0.080000       1.865000       0.445520
       0.120000       1.870000       0.445520
       0.160000       1.875000       0.445520
       0.200000       1.880000       0.445520
       0.240000       1.890000       0.445520
       0.280000       1.900000       0.445520
       0.320000       1.910000       0.445520
       0.360000       1.925000       0.445520
       0.400000       1.940000       0.445520
       0.440000       1.955000       0.445520
       0.480000       1.980000       0.445520
       0.520000       2.000000       0.445520
       0.560000       2.030000       0.445520
       0.600000       2.065000       0.445520
       0.640000       2.100000       0.445520
       0.680000       2.145000       0.445520
       0.720000       2.195000       0.445520
       0.760000       2.255000       0.445520
       0.800000       2.325000       0.445520
       0.840000       2.415000       0.445520
       0.880000       2.535000       0.445520
       0.920000       2.690000       0.445520
       0.960000       2.845000       0.445520
